MatchID,InningsNo,BattingTeamID,TeamName,BatsManName,BowlerName,BowlerType,OverNo,BallNo,Runs,BallRuns,ActualRuns,IsOne,IsTwo,IsThree,IsDotball,Extras,IsWide,IsNoBall,IsBye,IsLegBye,IsFour,IsSix,IsWicket,WicketType,Wickets,IsBowlerWicket,BallName,Day,SESSION_NO,IsExtra,SNO,Xpitch,Ypitch,RunRuns,IsMaiden,OverImage,BowlTypeID,BowlTypeName,ShotTypeID,ShotType,IsBouncer,IsFreeHit,BallCount,BCCheck,TotalRuns,TotalWickets,FiveHaul,Flag,FlagSet,PenaltyRuns,IsFifty,IsHundred,IsTwoHundred,IsHattrick,release_speed,initial_angle,release_x,release_y,release_z,pre_bounce_ax,pre_bounce_ay,pre_bounce_az,pre_bounce_vx,pre_bounce_vy,pre_bounce_vz,bounce_angle,cof,cor,pbr,shot_attacked,shot_played,shot_info,crease_reaction_time,interception_reaction_time,bounce_x,bounce_y,post_bounce_ax,post_bounce_ay,post_bounce_az,post_bounce_vx,post_bounce_vy,post_bounce_vz,impact_x,impact_y,impact_z,crease_x,crease_y,crease_z,drop_angle,stump_x,stump_y,stump_z,swing,deviation,swing_dist,six_dist,ground,date,season,striker_hand,non_striker_hand,bowler_hand,team_bat,team_bowl,delivery_type,match_day
420,1,1,India,Rohit Sharma,Akeal Hosein,,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,0,0.1,2,1,0,181684,96.85,-31.64,1,0,,23,ARM BALL,27,FORWARD PUSH,0,0,1,0,1,0,1,0,0,0,0,0,0,0,57.61570626047337,-2.77659064304275,8.34059810906152,-0.8959403551124001,2.168366301514919,-0.182780225031255,2.62240507265127,-8.99782490379904,-23.7614292540631,1.8582860865793,-6.32375142265253,12.15650545442674,0.3606151180091574,0.6773823108356215,75.54583482442749,Defended,Played,,0.751190185546875,0.6690444946289062,4.365489,-0.266141,-0.169724494671879,0.0,-10.6,-19.8854938375938,2.21804435224982,2.21804435224982,-7.825273,-0.026286,0.438005,-8.840957,0.089615,0.587471,-14.90298131436074,-10.06017188435159,0.2301123998506223,0.7298492351223188,3.628804449144037,1.892739796044874,4.22438291035689e-01,-1.00000000000000e+00,EDEN-GARDENS-KOLKATA,2022-02-18,2021/22,R,L,L,India,West-Indies,Spin,1.0
420,1,1,India,Ishan Kishan,Akeal Hosein,,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,0,0.2,2,1,0,181685,54.95,64.13,0,0,,23,ARM BALL,27,FORWARD PUSH,0,0,2,0,1,0,0,0,0,0,0,0,0,0,55.72817724191351,-2.295942960158697,8.340672456931966,0.4038065698967449,2.188719270978839,-0.178630612289128,2.76297401832159,-9.05749832193993,-23.2219795975866,0.653728957096028,-6.32948824172416,10.70146364962983,0.3312018957168594,0.5935547291718654,65.91301980409386,Defended,Played,,0.760574340820313,0.6662178039550781,4.088302,0.313745,-0.165871282839905,0.0,-10.6,-19.8800354755931,0.646638123153041,0.646638123153041,-7.581322,0.366456,0.307155,-8.840709,0.4082,0.471817,-15.24644007271504,-10.06009636702825,0.449049465250851,0.5901835486605338,3.749214169437788,0.2504786848339214,4.43696224732951e-01,-1.00000000000000e+00,EDEN-GARDENS-KOLKATA,2022-02-18,2021/22,L,R,L,India,West-Indies,Spin,1.0
420,1,1,India,Ishan Kishan,Akeal Hosein,,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,0,0.3,2,1,0,181686,67.84,-14.14,0,0,,23,ARM BALL,49,FORWARD DEFENCE,0,0,3,0,1,0,0,0,0,0,0,0,0,0,59.56242292763926,-5.121921803019732,8.341029145953723,0.3996753667238855,2.165863870383166,-0.186399485269461,2.86996835073855,-8.6533917895107,-24.2319330850299,0.165576227282955,-6.5150240670993,12.07392336709714,0.3516520349901816,0.6697749951351211,75.30104577125002,Defended,Played,,0.742137908935547,0.6920013427734375,6.27393,0.150378,-0.173085236321642,0.0,-10.6,-20.3996701027844,0.547221715007837,0.547221715007837,-8.06245,0.267225,0.729238,-8.840918,0.288968,0.804319,-15.0487370908392,-10.06009080628727,0.3233239727293601,0.8888422040456637,3.001454598399278,1.145097756182404,3.02767970981935e-01,-1.00000000000000e+00,EDEN-GARDENS-KOLKATA,2022-02-18,2021/22,L,R,L,India,West-Indies,Spin,1.0
420,1,1,India,Ishan Kishan,Akeal Hosein,,1,4,5 (NB),5,0,0,0,0,1,5,0,1,1,0,1,0,,,,0,0.4,2,1,1,181687,67.84,-14.14,5,0,,23,ARM BALL,54,LEG GLANCE,0,0,4,0,6,0,0,0,0,0,0,0,0,0,57.9447101364661,-4.934556960485079,8.34056835788703,0.399248554106989,2.15309045652565,-0.186223948218592,1.09613774105742,-8.65907068090502,-24.209113268417,-1.27856720361987,-6.46958774714399,12.02764465740375,0.3865409929961312,0.659010976503225,70.19754717587064,,,,0.767772674560547,0.799530029296875,6.164468,-0.346233,-0.17292223763155,0.0,-10.6,-20.0108479934414,-1.82683403486194,-1.82683403486194,-999.9,-999.9,-999.9,-8.840734,-0.807621,0.776949,-14.96195849331277,-10.05985303431166,-0.9245303314171684,0.8567634750498132,0.8817557290118048,-2.193017876201073,9.35428035621421e-02,-1.00000000000000e+00,EDEN-GARDENS-KOLKATA,2022-02-18,2021/22,L,R,L,India,West-Indies,Spin,1.0
420,1,1,India,Ishan Kishan,Akeal Hosein,,1,4,2 (NB),2,1,1,0,0,0,1,0,1,0,0,0,0,,,,0,0.4,2,1,1,181688,-121.86,104.19,2,0,,23,ARM BALL,11,LOFT ON,0,0,5,0,8,0,0,0,0,0,0,0,0,0,59.03474537682595,-0.4639393690884215,8.340663235608893,0.187202157041676,2.16551783244936,-0.182160553817374,0.168729079039291,-8.33291102111877,-23.6808719962586,-0.33315084527655,-5.96396254647131,9.776995673118856,0.1203349595145925,0.6499999999999997,95.46650404854071,Attacked,Played,,0.709007263183594,0.6422767639160156,0.9997779999999992,-0.082667,-0.169149085687562,0.0535573474507449,-10.6,-22.4968283964457,-0.316493303012722,-0.316493303012722,-7.934248,-0.066706,0.307129,-8.84082,-0.079576,0.088968,-14.13581398666498,-10.06003283546925,-0.09673252854995223,0.1965025309071082,0.1531023304699539,0.0,1.84634588602435e-02,-1.00000000000000e+00,EDEN-GARDENS-KOLKATA,2022-02-18,2021/22,L,R,L,India,West-Indies,Spin,1.0
420,1,1,India,Rohit Sharma,Akeal Hosein,,1,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,0,0.4,2,1,0,181689,146.11,77.94,1,0,,10,ORTHODOX,11,LOFT ON,0,0,6,0,9,0,0,0,0,0,0,0,0,0,60.73881664793537,-0.7950855757879807,8.341085386446832,-0.9486987499389423,2.179210057908709,-0.184163282847053,-0.0769533085168573,-8.37981315104588,-23.9412267701169,1.68307153922586,-6.01146516534467,9.748262596077538,0.1209825259741018,0.6499999999999991,95.40174740258969,Attacked,Played,,0.690765380859375,0.62677001953125,1.261172999999999,0.200565,-0.171008762643692,-0.27246275323812,-10.6,-22.744165431611,1.59891796226456,1.59891796226456,-7.699416,0.123521,0.297544,-8.841043,0.203533,0.038647,-14.0951478886569,-10.06019741067754,0.2892396389928807,0.2326924301398056,0.3581594686707448,-1.272221872585407e-14,4.52898768126677e-02,-1.00000000000000e+00,EDEN-GARDENS-KOLKATA,2022-02-18,2021/22,R,L,L,India,West-Indies,Spin,1.0
420,1,1,India,Ishan Kishan,Akeal Hosein,,1,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,0,0.5,2,1,0,181690,-137.51,50.32,1,0,,23,ARM BALL,58,PULL SHOT,0,0,7,0,10,0,0,0,0,0,0,0,0,0,60.81798591280928,-5.608095769598202,8.340668591942865,0.4524852640664629,2.111090452612752,-0.190516342133805,3.2521809361806,-8.23347733176978,-24.7671244773946,0.0333195698065814,-6.4131893309581,10.54271313669358,0.3291611433648385,0.6194412359690157,70.00007105886851,Attacked,Played,,0.732009887695313,0.6686439514160156,6.583136,0.128556,-0.17690803198139,0.0,-10.6,-21.3453802080682,0.367908183522668,0.367908183522668,-7.917343,0.206536,0.644771,-8.840925,0.223129,0.71183,-14.51729220078423,-10.06011466356303,0.2452375656250682,0.767674668489262,3.153069792166575,0.9103693680807364,3.10925050526503e-01,-1.00000000000000e+00,EDEN-GARDENS-KOLKATA,2022-02-18,2021/22,L,R,L,India,West-Indies,Spin,1.0
420,1,1,India,Rohit Sharma,Akeal Hosein,,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,0,0.6,2,1,0,181691,6.6,59.06,0,0,,23,ARM BALL,53,STRAIGHT DRIVE,0,0,8,0,10,0,0,0,0,0,0,0,0,0,59.72989414816319,-4.39517596836786,8.34061371760184,-0.8407013826403471,2.155868544335495,-0.187894838564088,2.76933084904155,-8.74124461999273,-24.4263290133314,1.75270537833416,-6.41738909103265,11.45340149944607,0.3937010171542467,0.6402664308793435,66.66986291647686,Attacked,Played,,0.739013671875,0.6936149597167969,5.6412,-0.311148,-0.174473778666653,0.0,-10.6,-20.2799986520561,1.62431713163078,1.62431713163078,-8.31323,0.00612,0.643691,-8.84091,0.049952,0.694839,-14.72032380698041,-10.05989563429695,0.152004903388506,0.7840153442870377,3.308017310730446,0.4750927140526459,3.52033734297568e-01,-1.00000000000000e+00,EDEN-GARDENS-KOLKATA,2022-02-18,2021/22,R,L,L,India,West-Indies,Spin,1.0
420,1,1,India,Ishan Kishan,Sheldon Cottrell,,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,0,1.1,2,1,0,181692,6.6,59.06,0,0,,42,OUTSWINGER,27,FORWARD PUSH,0,0,1,1,10,0,1,0,0,0,0,0,0,0,77.80019639008063,-7.253469759710859,8.34049067625967,0.4477581363515712,1.961222415453271,-0.243897027019613,5.22558986041671,-7.13097915119682,-31.7066135125497,0.448905142277641,-6.83506117576869,9.468773639276773,0.2433890632891149,0.70389478254296,91.24531105253251,Defended,Missed,,0.563770294189453,0.5945777893066406,7.05109,0.294099,-0.226475810803926,0.0,-10.6,-28.8469528896735,1.27752266178378,1.27752266178378,-999.9,-999.9,-999.9,-8.841038,0.558482,0.804166,-12.16520699702526,-10.06027547444648,0.6153540629598085,0.9101865690400945,3.044374936878832,1.724612206214252,2.85675744877345e-01,-1.00000000000000e+00,EDEN-GARDENS-KOLKATA,2022-02-18,2021/22,L,R,L,India,West-Indies,Seam,1.0
420,1,1,India,Ishan Kishan,Sheldon Cottrell,,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,0,1.2,2,1,0,181693,6.6,59.06,0,0,,42,OUTSWINGER,27,FORWARD PUSH,0,0,2,1,10,0,0,0,0,0,0,0,0,0,80.0553455597188,-8.098360278519195,8.341167899962628,0.4087795289200435,1.936634020943572,-0.251935419662692,5.19111025384388,-7.393399397339,-32.7516045561499,-0.0727415708139377,-7.31079631980076,9.407798925686846,0.2491082593056654,0.6729699047812513,86.03465978662116,Defended,Missed,,0.553791046142578,0.5831451416015625,7.92292,0.140667,-0.233940032543928,0.0,-10.6,-29.6938995578281,0.808575972831515,0.808575972831515,-999.9,-999.9,-999.9,-8.840878,0.328211,0.893171,-12.5832462824605,-10.059702557534,0.3634297782194988,0.9903232536596878,2.574329133254083,1.687054186677786,2.26157711643679e-01,-1.00000000000000e+00,EDEN-GARDENS-KOLKATA,2022-02-18,2021/22,L,R,L,India,West-Indies,Seam,1.0
