,ActualBallNo,MatchID,InningsNo,BattingTeamID,TeamName,BatsManName,BowlerName,BowlerType,OverNo,BallNo,Runs,BallRuns,ActualRuns,IsOne,IsTwo,IsThree,IsDotball,Extras,IsWide,IsNoBall,IsBye,IsLegBye,IsFour,IsSix,IsWicket,WicketType,Wickets,IsBowlerWicket,BallName,Day,SESSION_NO,IsExtra,SNO,Xpitch,Ypitch,RunRuns,IsMaiden,OverImage,BowlTypeID,BowlTypeName,ShotTypeID,ShotType,IsBouncer,IsFreeHit,BallCount,BCCheck,TotalRuns,TotalWickets,BOWLING_LINE_ID,BOWLING_LENGTH_ID,FiveHaul,Flag,FlagSet,PenaltyRuns,IsFifty,IsHundred,IsTwoHundred,IsHattrick
0,1,755,1,75,West Indies Women,Hayley Matthews,Renuka Singh,,1,1,1 (WD),1,0,0,0,0,0,1,1,0,0,0,0,0,0,,,0,0.1,1,1,1,275097,,,1,0,https://scores.bcci.tv/matchcentre/commentaryFiles/ICC-Womens-T20-World-Cup-2023/India-Women-VS-West-Indies-Women-(15-Feb-2023)/File_1-1-275097.jpg,,Knuckleball,54,LEG GLANCE,0,0,1,0,1,0,Leg stump,Good Length,1,0,0,0,0,0,0,0
1,2,755,1,75,West Indies Women,Hayley Matthews,Renuka Singh,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.1,1,1,0,275098,-77.66,-5.40,0,0,,,Knuckleball,97,BACKFOOT PUSH,0,0,2,0,1,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
2,3,755,1,75,West Indies Women,Hayley Matthews,Renuka Singh,,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0.2,1,1,0,275099,114.80,13.48,1,0,,,Knuckleball,97,BACKFOOT PUSH,0,0,3,0,2,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
3,4,755,1,75,West Indies Women,Stafanie Taylor,Renuka Singh,,1,3,1 (LB),1,0,0,0,0,1,1,0,0,0,1,0,0,0,,,0,0.3,1,1,1,275100,69.68,-15.99,1,0,,,Knuckleball,27,FORWARD PUSH,0,0,4,0,3,0,Off stump,Good Length,0,0,0,0,0,0,0,0
4,5,755,1,75,West Indies Women,Hayley Matthews,Renuka Singh,,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.4,1,1,0,275101,69.68,-15.99,0,0,,,Knuckleball,27,FORWARD PUSH,0,0,5,0,3,0,Outside Off stump,Full Length,0,0,0,0,0,0,0,0
5,6,755,1,75,West Indies Women,Hayley Matthews,Renuka Singh,,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.5,1,1,0,275102,-36.22,-13.68,0,0,,,Knuckleball,49,FORWARD DEFENCE,0,0,6,0,3,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
6,7,755,1,75,West Indies Women,Hayley Matthews,Renuka Singh,,1,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0.6,1,1,0,275103,84.41,37.42,1,0,,,Knuckleball,97,BACKFOOT PUSH,0,0,7,0,4,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
7,1,755,1,75,West Indies Women,Hayley Matthews,Pooja Vastrakar,,2,1,0 WK,W,0,0,0,0,1,0,0,0,0,0,0,0,1,Caught,WICKET,1,1.1,1,1,0,275104,84.41,37.42,0,0,,,Knuckleball,97,BACKFOOT PUSH,0,0,1,1,4,1,Outside Off stump,Short of Good Length,1,0,0,0,0,0,0,0
8,2,755,1,75,West Indies Women,Shemaine Campbelle,Pooja Vastrakar,,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.2,1,1,0,275105,23.64,63.21,0,0,,,Knuckleball,49,FORWARD DEFENCE,0,0,2,1,4,1,Off stump,Good Length,2,0,0,0,0,0,0,0
9,3,755,1,75,West Indies Women,Shemaine Campbelle,Pooja Vastrakar,,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.3,1,1,0,275106,-41.74,-13.68,0,0,,,Knuckleball,27,FORWARD PUSH,0,0,3,1,4,1,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
10,4,755,1,75,West Indies Women,Shemaine Campbelle,Pooja Vastrakar,,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.4,1,1,0,275107,-41.74,-13.68,0,0,,,Knuckleball,36,CUT SHOT,0,0,4,1,4,1,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0
11,5,755,1,75,West Indies Women,Shemaine Campbelle,Pooja Vastrakar,,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.5,1,1,0,275108,69.68,13.94,0,0,,,Knuckleball,97,BACKFOOT PUSH,0,0,5,1,4,1,Off stump,Good Length,0,0,0,0,0,0,0,0
12,6,755,1,75,West Indies Women,Shemaine Campbelle,Pooja Vastrakar,,2,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.6,1,1,0,275109,-81.34,9.80,0,0,,,Knuckleball,27,FORWARD PUSH,0,0,6,1,4,1,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
13,1,755,1,75,West Indies Women,Stafanie Taylor,Renuka Singh,,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.1,1,1,0,275110,-54.64,-38.09,0,0,,,Knuckleball,44,GLIDE,0,0,1,2,4,1,Outside Off stump,Good Length,1,0,0,0,0,0,0,0
14,2,755,1,75,West Indies Women,Stafanie Taylor,Renuka Singh,,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,2.2,1,1,0,275111,71.06,-8.16,1,0,,,Knuckleball,49,FORWARD DEFENCE,0,0,2,2,5,1,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
15,3,755,1,75,West Indies Women,Shemaine Campbelle,Renuka Singh,,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.3,1,1,0,275112,71.06,-8.16,0,0,,,Knuckleball,27,FORWARD PUSH,0,0,3,2,5,1,Outside Off stump,Full Length,0,0,0,0,0,0,0,0
16,4,755,1,75,West Indies Women,Shemaine Campbelle,Renuka Singh,,3,4,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,2.4,1,1,0,275113,163.15,-53.74,4,0,,,Knuckleball,46,FRONTFOOT PULL SHOT,0,0,4,2,9,1,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0
17,5,755,1,75,West Indies Women,Shemaine Campbelle,Renuka Singh,,3,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.5,1,1,0,275114,163.15,-53.74,0,0,,38,STRAIGHT BALL,36,CUT SHOT,0,0,5,2,9,1,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
18,6,755,1,75,West Indies Women,Shemaine Campbelle,Renuka Singh,,3,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,2.6,1,1,0,275115,-38.52,35.12,1,0,,39,ANGLED IN,27,FORWARD PUSH,0,0,6,2,10,1,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
19,1,755,1,75,West Indies Women,Shemaine Campbelle,Pooja Vastrakar,,4,1,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,,,0,3.1,1,1,0,275116,48.96,160.36,2,0,,39,ANGLED IN,47,FRONTFOOT ON DRIVE,0,0,1,3,12,1,Outside Off stump,Full Length,1,0,0,0,0,0,0,0
20,2,755,1,75,West Indies Women,Shemaine Campbelle,Pooja Vastrakar,,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,3.2,1,1,0,275117,-79.96,-20.59,0,0,,38,STRAIGHT BALL,36,CUT SHOT,0,0,2,3,12,1,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0
21,3,755,1,75,West Indies Women,Shemaine Campbelle,Pooja Vastrakar,,4,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,3.3,1,1,0,275118,44.36,21.77,1,0,,39,ANGLED IN,27,FORWARD PUSH,0,0,3,3,13,1,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
22,4,755,1,75,West Indies Women,Stafanie Taylor,Pooja Vastrakar,,4,4,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,,,0,3.4,1,1,0,275119,-130.15,-51.90,2,0,,39,ANGLED IN,16,BACKFOOT SQUARE DRIVE,0,0,4,3,15,1,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0
23,5,755,1,75,West Indies Women,Stafanie Taylor,Pooja Vastrakar,,4,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,3.5,1,1,0,275120,-55.10,6.12,0,0,,39,ANGLED IN,50,BACKFOOT DEFENCE,0,0,5,3,15,1,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
24,6,755,1,75,West Indies Women,Stafanie Taylor,Pooja Vastrakar,,4,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,3.6,1,1,0,275121,40.67,24.99,0,0,,39,ANGLED IN,97,BACKFOOT PUSH,0,0,6,3,15,1,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0
25,1,755,1,75,West Indies Women,Shemaine Campbelle,Rajeshwari Gayakwad,,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,4.1,1,1,0,275122,40.67,24.99,0,0,,,Knuckleball,50,BACKFOOT DEFENCE,0,0,1,4,15,1,Off stump,Short of Good Length,1,0,0,0,0,0,0,0
26,2,755,1,75,West Indies Women,Shemaine Campbelle,Rajeshwari Gayakwad,,5,2,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,4.2,1,1,0,275123,77.97,-140.76,4,0,,,Knuckleball,55,SWEEP SHOT,0,0,2,4,19,1,Leg stump,Good Length,0,0,0,0,0,0,0,0
27,3,755,1,75,West Indies Women,Shemaine Campbelle,Rajeshwari Gayakwad,,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,4.3,1,1,0,275124,48.04,-4.47,0,0,,,Knuckleball,50,BACKFOOT DEFENCE,0,0,3,4,19,1,Off stump,Short of Good Length,0,0,0,0,0,0,0,0
28,4,755,1,75,West Indies Women,Shemaine Campbelle,Rajeshwari Gayakwad,,5,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,4.4,1,1,0,275125,89.02,136.88,1,0,,,Knuckleball,74,STEP DOWN ON DRIVE,0,0,4,4,20,1,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
29,5,755,1,75,West Indies Women,Stafanie Taylor,Rajeshwari Gayakwad,,5,5,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,4.5,1,1,0,275126,32.38,-139.38,4,0,,,Knuckleball,55,SWEEP SHOT,0,0,5,4,24,1,Outside Leg stump,Good Length,0,0,0,0,0,0,0,0
30,6,755,1,75,West Indies Women,Stafanie Taylor,Rajeshwari Gayakwad,,5,6,3,3,3,0,0,1,0,0,0,0,0,0,0,0,0,,,0,4.6,1,1,0,275127,-146.72,-27.96,3,0,,,Knuckleball,16,BACKFOOT SQUARE DRIVE,0,0,6,4,27,1,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0
31,1,755,1,75,West Indies Women,Stafanie Taylor,Deepti Sharma,,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,5.1,1,1,0,275128,-84.56,-8.62,0,0,,,Knuckleball,36,CUT SHOT,0,0,1,5,27,1,Outside Off stump,Good Length,1,0,0,0,0,0,0,0
32,2,755,1,75,West Indies Women,Stafanie Taylor,Deepti Sharma,,6,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,5.2,1,1,0,275129,-0.77,60.91,0,0,,,Knuckleball,50,BACKFOOT DEFENCE,0,0,2,5,27,1,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0
33,3,755,1,75,West Indies Women,Stafanie Taylor,Deepti Sharma,,6,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,5.3,1,1,0,275130,20.41,48.47,0,0,,,Knuckleball,27,FORWARD PUSH,0,0,3,5,27,1,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
34,4,755,1,75,West Indies Women,Stafanie Taylor,Deepti Sharma,,6,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,5.4,1,1,0,275131,5.22,39.73,0,0,,,Knuckleball,50,BACKFOOT DEFENCE,0,0,4,5,27,1,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0
35,5,755,1,75,West Indies Women,Stafanie Taylor,Deepti Sharma,,6,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,5.5,1,1,0,275132,-21.49,-32.56,1,0,,,Knuckleball,35,LATE CUT,0,0,5,5,28,1,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
