,ActualBallNo,MatchID,InningsNo,BattingTeamID,TeamName,BatsManName,BowlerName,BowlerType,OverNo,BallNo,Runs,BallRuns,ActualRuns,IsOne,IsTwo,IsThree,IsDotball,Extras,IsWide,IsNoBall,IsBye,IsLegBye,IsFour,IsSix,IsWicket,WicketType,Wickets,IsBowlerWicket,BallName,Day,SESSION_NO,IsExtra,SNO,Xpitch,Ypitch,RunRuns,IsMaiden,OverImage,BowlTypeID,BowlTypeName,ShotTypeID,ShotType,IsBouncer,IsFreeHit,BallCount,BCCheck,TotalRuns,TotalWickets,FiveHaul,Flag,FlagSet,PenaltyRuns,IsFifty,IsHundred,IsTwoHundred,IsHattrick
0,1,435,1,69,Bangladesh U19,Mohammad Mahfijul Islam,Rajvardhan Hangargekar,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.1,1,1,0,175266,-18.26,-0.33,0,0,,39,ANGLED IN,49,FORWARD DEFENCE,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1,2,435,1,69,Bangladesh U19,Mohammad Mahfijul Islam,Rajvardhan Hangargekar,,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0.2,1,1,0,175267,-77.66,-86.89,1,0,,38,STRAIGHT BALL,51,FRONTFOOT COVERDRIVE,0,0,2,0,1,0,0,0,0,0,0,0,0,0
2,3,435,1,69,Bangladesh U19,Iftakher Hossain Ifti,Rajvardhan Hangargekar,,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.3,1,1,0,175268,-77.66,-86.89,0,0,,39,ANGLED IN,105,LEFT ALONE,0,0,3,0,1,0,0,0,0,0,0,0,0,0
3,4,435,1,69,Bangladesh U19,Iftakher Hossain Ifti,Rajvardhan Hangargekar,,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.4,1,1,0,175269,15.35,4.27,0,0,,39,ANGLED IN,54,LEG GLANCE,0,0,4,0,1,0,0,0,0,0,0,0,0,0
4,5,435,1,69,Bangladesh U19,Iftakher Hossain Ifti,Rajvardhan Hangargekar,,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.5,1,1,0,175270,15.35,4.27,0,0,,42,OUTSWINGER,51,FRONTFOOT COVERDRIVE,0,0,5,0,1,0,0,0,0,0,0,0,0,0
5,6,435,1,69,Bangladesh U19,Iftakher Hossain Ifti,Rajvardhan Hangargekar,,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.6,1,1,0,175271,15.35,4.27,0,0,,38,STRAIGHT BALL,105,LEFT ALONE,0,0,6,0,1,0,0,0,0,0,0,0,0,0
6,1,435,1,69,Bangladesh U19,Mohammad Mahfijul Islam,Ravi Kumar,,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,1.1,1,1,0,175272,58.17,15.32,1,0,,41,INSWINGER,49,FORWARD DEFENCE,0,0,1,1,2,0,1,0,0,0,0,0,0,0
7,2,435,1,69,Bangladesh U19,Iftakher Hossain Ifti,Ravi Kumar,,2,2,1 (BY),1,0,0,0,0,1,1,0,0,1,0,0,0,0,,,0,1.2,1,1,1,175273,58.17,15.32,1,0,,42,OUTSWINGER,105,LEFT ALONE,0,0,2,1,3,0,0,0,0,0,0,0,0,0
8,3,435,1,69,Bangladesh U19,Mohammad Mahfijul Islam,Ravi Kumar,,2,3,0 WK,W,0,0,0,0,1,0,0,0,0,0,0,0,1,Bowled,WICKET,1,1.3,1,1,0,175274,58.17,15.32,0,0,,41,INSWINGER,47,FRONTFOOT ON DRIVE,0,0,3,1,3,1,1,0,0,0,0,0,0,0
9,4,435,1,69,Bangladesh U19,Prantik Nawrose Nabil,Ravi Kumar,,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.4,1,1,0,175275,58.17,15.32,0,0,,42,OUTSWINGER,105,LEFT ALONE,0,0,4,1,3,1,2,0,0,0,0,0,0,0
10,5,435,1,69,Bangladesh U19,Prantik Nawrose Nabil,Ravi Kumar,,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.5,1,1,0,175276,83.03,18.09,0,0,,42,OUTSWINGER,27,FORWARD PUSH,0,0,5,1,3,1,0,0,0,0,0,0,0,0
11,6,435,1,69,Bangladesh U19,Prantik Nawrose Nabil,Ravi Kumar,,2,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.6,1,1,0,175277,83.03,18.09,0,0,,42,OUTSWINGER,49,FORWARD DEFENCE,0,0,6,1,3,1,0,0,0,0,0,0,0,0
12,1,435,1,69,Bangladesh U19,Iftakher Hossain Ifti,Rajvardhan Hangargekar,,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,2.1,1,1,0,175278,-95.62,-78.60,1,0,,41,INSWINGER,54,LEG GLANCE,0,0,1,2,4,1,1,0,0,0,0,0,0,0
13,2,435,1,69,Bangladesh U19,Prantik Nawrose Nabil,Rajvardhan Hangargekar,,3,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,,,0,2.2,1,1,0,175279,140.13,25.91,2,0,,41,INSWINGER,27,FORWARD PUSH,0,0,2,2,6,1,0,0,0,0,0,0,0,0
14,3,435,1,69,Bangladesh U19,Prantik Nawrose Nabil,Rajvardhan Hangargekar,,3,3,1 (WD),1,0,0,0,0,0,1,1,0,0,0,0,0,0,,,0,2.3,1,1,1,175280,140.13,25.91,1,0,,42,OUTSWINGER,105,LEFT ALONE,0,0,3,2,7,1,0,0,0,0,0,0,0,0
15,4,435,1,69,Bangladesh U19,Prantik Nawrose Nabil,Rajvardhan Hangargekar,,3,3,1 (WD),1,0,0,0,0,0,1,1,0,0,0,0,0,0,,,0,2.3,1,1,1,175281,140.13,25.91,1,0,,42,OUTSWINGER,105,LEFT ALONE,0,0,4,2,8,1,0,0,0,0,0,0,0,0
