,ActualBallNo,MatchID,InningsNo,BattingTeamID,TeamName,BatsManName,BowlerName,BowlerType,OverNo,BallNo,Runs,BallRuns,ActualRuns,IsOne,IsTwo,IsThree,IsDotball,Extras,IsWide,IsNoBall,IsBye,IsLegBye,IsFour,IsSix,IsWicket,WicketType,Wickets,IsBowlerWicket,BallName,Day,SESSION_NO,IsExtra,SNO,Xpitch,Ypitch,RunRuns,IsMaiden,OverImage,BowlTypeID,BowlTypeName,ShotTypeID,ShotType,IsBouncer,IsFreeHit,BallCount,BCCheck,TotalRuns,TotalWickets,BOWLING_LINE_ID,BOWLING_LENGTH_ID,FiveHaul,Flag,FlagSet,PenaltyRuns,IsFifty,IsHundred,IsTwoHundred,IsHattrick
0,1,263,1,2,Australia,Matthew Wade,Deepak Chahar,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.1,1,1,0,102598,,,0,0,,,Knuckleball,27,FORWARD PUSH,0,0,1,0,0,0,Outside Off stump,Good Length,1,0,0,0,0,0,0,0
1,2,263,1,2,Australia,Matthew Wade,Deepak Chahar,,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.2,1,1,0,102599,,,0,0,,,Knuckleball,40,FRONTFOOT FLICK,0,0,2,0,0,0,Off stump,Full Length,0,0,0,0,0,0,0,0
2,3,263,1,2,Australia,Matthew Wade,Deepak Chahar,,1,3,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,0.3,1,1,0,102600,73.36,-127.87,4,0,,,Knuckleball,99,SCOOP,0,0,3,0,4,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
3,4,263,1,2,Australia,Matthew Wade,Deepak Chahar,,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.4,1,1,0,102601,73.36,-127.87,0,0,,,Knuckleball,105,LEFT ALONE,0,0,4,0,4,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
4,5,263,1,2,Australia,Matthew Wade,Deepak Chahar,,1,5,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,0.5,1,1,0,102602,-176.19,68.73,4,0,,,Knuckleball,58,BACKFOOT PULL SHOT,0,0,5,0,8,0,Leg stump,Short of Good Length,0,0,0,0,0,0,0,0
5,6,263,1,2,Australia,Matthew Wade,Deepak Chahar,,1,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0.6,1,1,0,102603,-130.61,-62.95,1,0,,,Knuckleball,99,SCOOP,0,0,6,0,9,0,Outside Off stump,Full Length,0,0,0,0,0,0,0,0
6,1,263,1,2,Australia,Matthew Wade,Washington Sundar,,2,1,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,1.1,1,1,0,102604,-178.03,26.83,4,0,,,Knuckleball,58,BACKFOOT PULL SHOT,0,0,1,1,13,0,Outside Off stump,Short of Good Length,1,0,0,0,0,0,0,0
7,2,263,1,2,Australia,Matthew Wade,Washington Sundar,,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,1.2,1,1,0,102605,149.79,-28.42,1,0,,,Knuckleball,36,CUT SHOT,0,0,2,1,14,0,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0
8,3,263,1,2,Australia,Aaron Finch,Washington Sundar,,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.3,1,1,0,102606,49.88,27.76,0,0,,,Knuckleball,58,BACKFOOT PULL SHOT,0,0,3,1,14,0,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0
9,4,263,1,2,Australia,Aaron Finch,Washington Sundar,,2,4,0 WK,W,0,0,0,0,1,0,0,0,0,0,0,0,1,Caught,WICKET,1,1.4,1,1,0,102607,-43.59,133.65,0,0,,,Knuckleball,5,LOFTED OFF DRIVE,0,0,4,1,14,1,Outside Off stump,Short of Good Length,1,0,0,0,0,0,0,0
10,5,263,1,2,Australia,Matthew Wade,Washington Sundar,,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.5,1,1,0,102608,-43.59,133.65,0,0,,,Knuckleball,40,FRONTFOOT FLICK,0,0,5,1,14,1,Outside Off stump,Good Length,2,0,0,0,0,0,0,0
11,6,263,1,2,Australia,Matthew Wade,Washington Sundar,,2,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.6,1,1,0,102609,70.60,28.68,0,0,,,Knuckleball,36,CUT SHOT,0,0,6,1,14,1,Off stump,Short of Good Length,0,0,0,0,0,0,0,0
12,1,263,1,2,Australia,Steven Smith,Deepak Chahar,,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.1,1,1,0,102610,64.62,53.54,0,0,,,Knuckleball,40,FRONTFOOT FLICK,0,0,1,2,14,1,Off stump,Full Length,1,0,0,0,0,0,0,0
13,2,263,1,2,Australia,Steven Smith,Deepak Chahar,,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,2.2,1,1,0,102611,-62.46,34.20,1,0,,,Knuckleball,50,BACKFOOT DEFENCE,0,0,2,2,15,1,Off stump,Short of Good Length,0,0,0,0,0,0,0,0
