,ActualBallNo,MatchID,InningsNo,BattingTeamID,TeamName,BatsManName,BowlerName,BowlerType,OverNo,BallNo,Runs,BallRuns,ActualRuns,IsOne,IsTwo,IsThree,IsDotball,Extras,IsWide,IsNoBall,IsBye,IsLegBye,IsFour,IsSix,IsWicket,WicketType,Wickets,IsBowlerWicket,BallName,Day,SESSION_NO,IsExtra,SNO,Xpitch,Ypitch,RunRuns,IsMaiden,OverImage,BowlTypeID,BowlTypeName,ShotTypeID,ShotType,IsBouncer,IsFreeHit,BallCount,BCCheck,TotalRuns,TotalWickets,BOWLING_LINE_ID,BOWLING_LENGTH_ID,FiveHaul,Flag,FlagSet,PenaltyRuns,IsFifty,IsHundred,IsTwoHundred,IsHattrick
0,1,2379,1,52,India (Women),Shafali Verma,Eliz mari Marx,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.1,1,1,0,825945,,,0,0,,42,OUTSWINGER,51,FRONTFOOT COVERDRIVE,0,0,1,0,0,0,Outside Off stump,Full Length,1,0,0,0,0,0,0,0
1,2,2379,1,52,India (Women),Shafali Verma,Eliz mari Marx,,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0.2,1,1,0,825946,-47.00,-107.00,1,0,,42,OUTSWINGER,44,GLIDE,0,0,2,0,1,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
2,3,2379,1,52,India (Women),Anushka Sharma,Eliz mari Marx,,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0.3,1,1,0,825947,-65.50,-108.00,1,0,,42,OUTSWINGER,27,FORWARD PUSH,0,0,3,0,2,0,Off stump,Good Length,0,0,0,0,0,0,0,0
3,4,2379,1,52,India (Women),Shafali Verma,Eliz mari Marx,,1,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0.4,1,1,0,825948,-52.50,-114.00,1,0,,39,ANGLED IN,44,GLIDE,0,0,4,0,3,0,Outside Leg stump,Full Length,0,0,0,0,0,0,0,0
4,5,2379,1,52,India (Women),Anushka Sharma,Eliz mari Marx,,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.5,1,1,0,825949,-102.00,5.50,0,0,,42,OUTSWINGER,27,FORWARD PUSH,0,0,5,0,3,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
5,6,2379,1,52,India (Women),Anushka Sharma,Eliz mari Marx,,1,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0.6,1,1,0,825950,97.50,-91.00,1,0,,39,ANGLED IN,40,FRONTFOOT FLICK,0,0,6,0,4,0,Leg stump,Good Length,0,0,0,0,0,0,0,0
7,1,2379,1,52,India (Women),Anushka Sharma,Annerie Dercksen,,2,1,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,,,0,1.1,1,1,0,825951,-138.50,82.50,2,0,,42,OUTSWINGER,15,LOFTED COVER DRIVE,0,0,1,1,6,0,Outside Off stump,Good Length,1,0,0,0,0,0,0,0
8,2,2379,1,52,India (Women),Anushka Sharma,Annerie Dercksen,,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,1.2,1,1,0,825952,148.50,-16.50,1,0,,39,ANGLED IN,40,FRONTFOOT FLICK,0,0,2,1,7,0,Leg stump,Good Length,0,0,0,0,0,0,0,0
9,3,2379,1,52,India (Women),Shafali Verma,Annerie Dercksen,,2,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,1.3,1,1,0,825953,-100.50,-39.50,1,0,,39,ANGLED IN,97,BACKFOOT PUSH,0,0,3,1,8,0,Off stump,Short of Good Length,0,0,0,0,0,0,0,0
10,4,2379,1,52,India (Women),Anushka Sharma,Annerie Dercksen,,2,4,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,,,0,1.4,1,1,0,825954,178.50,31.50,2,0,,39,ANGLED IN,11,LOFTED ON DRIVE,0,0,4,1,10,0,Leg stump,Full Length,0,0,0,0,0,0,0,0
11,5,2379,1,52,India (Women),Anushka Sharma,Annerie Dercksen,,2,5,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,1.5,1,1,0,825955,-185.00,-53.50,4,0,,42,OUTSWINGER,36,CUT SHOT,0,0,5,1,14,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
12,6,2379,1,52,India (Women),Anushka Sharma,Annerie Dercksen,,2,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.6,1,1,0,825956,-185.00,-53.50,0,0,,36,BOUNCER,105,LEFT ALONE,1,0,6,1,14,0,Outside Off stump,Short Length,0,0,0,0,0,0,0,0
14,1,2379,1,52,India (Women),Shafali Verma,Eliz mari Marx,,3,1,4 (BY),4,0,0,0,0,1,4,0,0,1,0,1,0,0,,,0,2.1,1,1,1,825957,-185.00,-53.50,4,0,,36,BOUNCER,46,FRONTFOOT PULL SHOT,1,0,1,2,18,0,Outside Off stump,Short Length,1,0,0,0,0,0,0,0
