,ActualBallNo,MatchID,InningsNo,BattingTeamID,TeamName,BatsManName,BowlerName,BowlerType,OverNo,BallNo,Runs,BallRuns,ActualRuns,IsOne,IsTwo,IsThree,IsDotball,Extras,IsWide,IsNoBall,IsBye,IsLegBye,IsFour,IsSix,IsWicket,WicketType,Wickets,IsBowlerWicket,BallName,IsExtra,SNO,Xpitch,Ypitch,RunRuns,IsMaiden,BowlTypeID,BowlTypeName,ShotTypeID,ShotType,IsBouncer,IsFreeHit,BallCount,BCCheck,TotalRuns,TotalWickets,FiveHaul,Flag,FlagSet,PenaltyRuns,IsFifty,IsHundred,IsTwoHundred,IsHattrick
0,1,334,1,1,India,Rohit Sharma,Adil Rashid,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.1,0,117862,-63.50,42.00,0,0,24,LEG SPIN,27,FORWARD PUSH,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1,2,334,1,1,India,Rohit Sharma,Adil Rashid,,1,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,,,0,0.2,0,117863,129.50,-21.00,2,0,28,GOOGLY,97,BACKFOOT PUSH,0,0,2,0,2,0,0,0,0,0,0,0,0,0
2,3,334,1,1,India,Rohit Sharma,Adil Rashid,,1,3,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,,,0,0.3,0,117864,145.50,-29.00,2,0,24,LEG SPIN,97,BACKFOOT PUSH,0,0,3,0,4,0,0,0,0,0,0,0,0,0
3,4,334,1,1,India,Rohit Sharma,Adil Rashid,,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.4,0,117865,41.50,31.00,0,0,28,GOOGLY,50,BACKFOOT DEFENCE,0,0,4,0,4,0,0,0,0,0,0,0,0,0
4,5,334,1,1,India,Rohit Sharma,Adil Rashid,,1,5,1 (LB),1,0,0,0,0,1,1,0,0,0,1,0,0,0,,,0,0.5,1,117866,41.50,31.00,1,0,24,LEG SPIN,27,FORWARD PUSH,0,0,5,0,5,0,0,0,0,0,0,0,0,0
5,6,334,1,1,India,K L Rahul,Adil Rashid,,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.6,0,117867,36.50,60.00,0,0,24,LEG SPIN,27,FORWARD PUSH,0,0,6,0,5,0,0,0,0,0,0,0,0,0
6,1,334,1,1,India,Rohit Sharma,Jofra Archer,,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.1,0,117868,-18.50,91.00,0,0,41,INSWINGER,49,FORWARD DEFENCE,0,0,1,1,5,0,1,0,0,0,0,0,0,0
7,2,334,1,1,India,Rohit Sharma,Jofra Archer,,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.2,0,117869,-18.50,91.00,0,0,38,STRAIGHT BALL,105,LEFT ALONE,0,0,2,1,5,0,0,0,0,0,0,0,0,0
8,3,334,1,1,India,Rohit Sharma,Jofra Archer,,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.3,0,117870,-18.50,91.00,0,0,37,NIPPED AWAY,36,CUT SHOT,0,0,3,1,5,0,0,0,0,0,0,0,0,0
9,4,334,1,1,India,Rohit Sharma,Jofra Archer,,2,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,1.4,0,117871,-78.50,-112.00,1,0,46,LEGCUTTER,44,GLIDE,0,0,4,1,6,0,0,0,0,0,0,0,0,0
10,5,334,1,1,India,K L Rahul,Jofra Archer,,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.5,0,117872,-78.50,-112.00,0,0,37,NIPPED AWAY,49,FORWARD DEFENCE,0,0,5,1,6,0,0,0,0,0,0,0,0,0
11,6,334,1,1,India,K L Rahul,Jofra Archer,,2,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.6,0,117873,-86.50,-9.00,0,0,46,LEGCUTTER,50,BACKFOOT DEFENCE,0,0,6,1,6,0,0,0,0,0,0,0,0,0
12,1,334,1,1,India,Rohit Sharma,Mark Wood,,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.1,0,117874,58.50,104.00,0,0,39,ANGLED IN,47,ON DRIVE,0,0,1,2,6,0,1,0,0,0,0,0,0,0
13,2,334,1,1,India,Rohit Sharma,Mark Wood,,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,2.2,0,117875,121.50,-54.00,1,0,39,ANGLED IN,11,LOFT ON,0,0,2,2,7,0,0,0,0,0,0,0,0,0
14,3,334,1,1,India,K L Rahul,Mark Wood,,3,3,0 WK,W,0,0,0,0,1,0,0,0,0,0,0,0,1,Bowled,WICKET,1,2.3,0,117876,121.50,-54.00,0,0,43,NIPBACKER,50,BACKFOOT DEFENCE,0,0,3,2,7,1,1,0,0,0,0,0,0,0
15,4,334,1,1,India,Ishan Kishan,Mark Wood,,3,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.4,0,117877,-4.50,27.00,0,0,30,ANGLED ACROSS,50,BACKFOOT DEFENCE,0,0,4,2,7,1,2,0,0,0,0,0,0,0
16,5,334,1,1,India,Ishan Kishan,Mark Wood,,3,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.5,0,117878,60.50,-24.00,0,0,30,ANGLED ACROSS,50,BACKFOOT DEFENCE,0,0,5,2,7,1,0,0,0,0,0,0,0,0
17,6,334,1,1,India,Ishan Kishan,Mark Wood,,3,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,2.6,0,117879,-69.50,-38.00,1,0,30,ANGLED ACROSS,97,BACKFOOT PUSH,0,0,6,2,8,1,0,0,0,0,0,0,0,0
18,1,334,1,1,India,Ishan Kishan,Jofra Archer,,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,3.1,0,117880,-56.50,73.00,0,0,30,ANGLED ACROSS,97,BACKFOOT PUSH,0,0,1,3,8,1,1,0,0,0,0,0,0,0
19,2,334,1,1,India,Ishan Kishan,Jofra Archer,,4,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,3.2,0,117881,39.50,33.00,1,0,38,STRAIGHT BALL,50,BACKFOOT DEFENCE,0,0,2,3,9,1,0,0,0,0,0,0,0,0
20,3,334,1,1,India,Rohit Sharma,Jofra Archer,,4,3,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,3.3,0,117882,58.50,-133.00,4,0,43,NIPBACKER,50,BACKFOOT DEFENCE,0,0,3,3,13,1,0,0,0,0,0,0,0,0
21,4,334,1,1,India,Rohit Sharma,Jofra Archer,,4,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,3.4,0,117883,109.50,89.00,1,0,39,ANGLED IN,50,BACKFOOT DEFENCE,0,0,4,3,14,1,0,0,0,0,0,0,0,0
22,5,334,1,1,India,Ishan Kishan,Jofra Archer,,4,5,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,,,0,3.5,0,117884,35.50,176.00,2,0,30,ANGLED ACROSS,27,FORWARD PUSH,0,0,5,3,16,1,0,0,0,0,0,0,0,0
23,6,334,1,1,India,Ishan Kishan,Jofra Archer,,4,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,3.6,0,117885,-33.50,62.00,0,0,30,ANGLED ACROSS,97,BACKFOOT PUSH,0,0,6,3,16,1,0,0,0,0,0,0,0,0
24,1,334,1,1,India,Rohit Sharma,Mark Wood,,5,1,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,4.1,0,117886,-13.50,209.00,4,0,39,ANGLED IN,53,STRAIGHT DRIVE,0,0,1,4,20,1,1,0,0,0,0,0,0,0
25,2,334,1,1,India,Rohit Sharma,Mark Wood,,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,4.2,0,117887,-13.50,209.00,0,0,38,STRAIGHT BALL,36,CUT SHOT,0,0,2,4,20,1,0,0,0,0,0,0,0,0
26,3,334,1,1,India,Rohit Sharma,Mark Wood,,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,4.3,0,117888,-13.50,209.00,0,0,36,BOUNCER,105,LEFT ALONE,1,0,3,4,20,1,0,0,0,0,0,0,0,0
27,4,334,1,1,India,Rohit Sharma,Mark Wood,,5,4,0 WK,W,0,0,0,0,1,0,0,0,0,0,0,0,1,Caught,WICKET,1,4.4,0,117889,58.50,-48.00,0,0,39,ANGLED IN,58,PULL SHOT,0,0,4,4,20,2,1,0,0,0,0,0,0,0
