,ActualBallNo,MatchID,InningsNo,BattingTeamID,TeamName,BatsManName,BowlerName,BowlerType,OverNo,BallNo,Runs,BallRuns,ActualRuns,IsOne,IsTwo,IsThree,IsDotball,Extras,IsWide,IsNoBall,IsBye,IsLegBye,IsFour,IsSix,IsWicket,WicketType,Wickets,IsBowlerWicket,BallName,Day,SESSION_NO,IsExtra,SNO,Xpitch,Ypitch,RunRuns,IsMaiden,OverImage,BowlTypeID,BowlTypeName,ShotTypeID,ShotType,IsBouncer,IsFreeHit,BallCount,BCCheck,TotalRuns,TotalWickets,FiveHaul,Flag,FlagSet,PenaltyRuns,IsFifty,IsHundred,IsTwoHundred,IsHattrick
0,1,379,1,9,Afghanistan,Hazratullah Zazai,Ruben Trumpelmann,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.1,1,1,0,151620,36.00,17.50,0,0,,42,OUTSWINGER,49,FORWARD DEFENCE,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1,2,379,1,9,Afghanistan,Hazratullah Zazai,Ruben Trumpelmann,,1,2,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,0.2,1,1,0,151621,24.50,-146.00,4,0,,42,OUTSWINGER,96,Slice,0,0,2,0,4,0,0,0,0,0,0,0,0,0
2,3,379,1,9,Afghanistan,Hazratullah Zazai,Ruben Trumpelmann,,1,3,1 (WD),1,0,0,0,0,0,1,1,0,0,0,0,0,0,,,0,0.3,1,1,1,151622,24.50,-146.00,1,0,,39,ANGLED IN,40,FLICK,0,0,3,0,5,0,0,0,0,0,0,0,0,0
3,4,379,1,9,Afghanistan,Hazratullah Zazai,Ruben Trumpelmann,,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.3,1,1,0,151623,85.00,15.00,0,0,,42,OUTSWINGER,97,BACKFOOT PUSH,0,0,4,0,5,0,0,0,0,0,0,0,0,0
4,5,379,1,9,Afghanistan,Hazratullah Zazai,Ruben Trumpelmann,,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.4,1,1,0,151624,85.00,15.00,0,0,,42,OUTSWINGER,36,CUT SHOT,0,0,5,0,5,0,0,0,0,0,0,0,0,0
5,6,379,1,9,Afghanistan,Hazratullah Zazai,Ruben Trumpelmann,,1,5,6,6,6,0,0,0,0,0,0,0,0,0,0,1,0,,,0,0.5,1,1,0,151625,-91.00,190.00,6,0,,42,OUTSWINGER,11,LOFT ON,0,0,6,0,11,0,0,0,0,0,0,0,0,0
6,7,379,1,9,Afghanistan,Hazratullah Zazai,Ruben Trumpelmann,,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.6,1,1,0,151626,-91.00,190.00,0,0,,42,OUTSWINGER,16,BACKFOOT SQUARE DRIVE,0,0,7,0,11,0,0,0,0,0,0,0,0,0
7,1,379,1,9,Afghanistan,Mohammad Shahzad,JJ Smit,,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.1,1,1,0,151627,-20.00,39.50,0,0,,30,ANGLED ACROSS,50,BACKFOOT DEFENCE,0,0,1,1,11,0,1,0,0,0,0,0,0,0
8,2,379,1,9,Afghanistan,Mohammad Shahzad,JJ Smit,,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,1.2,1,1,0,151628,-80.00,-1.00,1,0,,30,ANGLED ACROSS,97,BACKFOOT PUSH,0,0,2,1,12,0,0,0,0,0,0,0,0,0
9,3,379,1,9,Afghanistan,Hazratullah Zazai,JJ Smit,,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.3,1,1,0,151629,-80.00,-1.00,0,0,,43,NIPBACKER,58,PULL SHOT,0,0,3,1,12,0,0,0,0,0,0,0,0,0
10,4,379,1,9,Afghanistan,Hazratullah Zazai,JJ Smit,,2,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,1.4,1,1,0,151630,-135.50,53.00,1,0,,39,ANGLED IN,40,FLICK,0,0,4,1,13,0,0,0,0,0,0,0,0,0
11,5,379,1,9,Afghanistan,Mohammad Shahzad,JJ Smit,,2,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,1.5,1,1,0,151631,86.50,23.00,1,0,,30,ANGLED ACROSS,97,BACKFOOT PUSH,0,0,5,1,14,0,0,0,0,0,0,0,0,0
12,6,379,1,9,Afghanistan,Hazratullah Zazai,JJ Smit,,2,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,1.6,1,1,0,151632,-82.50,94.00,1,0,,39,ANGLED IN,97,BACKFOOT PUSH,0,0,6,1,15,0,0,0,0,0,0,0,0,0
13,1,379,1,9,Afghanistan,Hazratullah Zazai,David Wiese,,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,2.1,1,1,0,151633,-119.50,58.00,1,0,,30,ANGLED ACROSS,40,FLICK,0,0,1,2,16,0,1,0,0,0,0,0,0,0
14,2,379,1,9,Afghanistan,Mohammad Shahzad,David Wiese,,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,2.2,1,1,0,151634,-94.00,-10.00,1,0,,39,ANGLED IN,36,CUT SHOT,0,0,2,2,17,0,0,0,0,0,0,0,0,0
15,3,379,1,9,Afghanistan,Hazratullah Zazai,David Wiese,,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.3,1,1,0,151635,60.00,-52.50,0,0,,30,ANGLED ACROSS,36,CUT SHOT,0,0,3,2,17,0,0,0,0,0,0,0,0,0
