,ActualBallNo,MatchID,InningsNo,BattingTeamID,TeamName,BatsManName,BowlerName,BowlerType,OverNo,BallNo,Runs,BallRuns,ActualRuns,IsOne,IsTwo,IsThree,IsDotball,Extras,IsWide,IsNoBall,IsBye,IsLegBye,IsFour,IsSix,IsWicket,WicketType,Wickets,IsBowlerWicket,BallName,Day,SESSION_NO,IsExtra,SNO,Xpitch,Ypitch,RunRuns,IsMaiden,OverImage,BowlTypeID,BowlTypeName,ShotTypeID,ShotType,IsBouncer,IsFreeHit,BallCount,BCCheck,TotalRuns,TotalWickets,BOWLING_LINE_ID,BOWLING_LENGTH_ID,FiveHaul,Flag,FlagSet,PenaltyRuns,IsFifty,IsHundred,IsTwoHundred,IsHattrick,STclientID,NSTclientID
0,1,857,1,15,Punjab Kings,Simran Singh,Umesh Yadav,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.1,1,1,0,298946,-45.89,115.70,0,0,https://scores.bcci.tv/matchcentre/commentaryFiles/TATA-IPL-2023/Punjab-Kings-VS-Kolkata-Knight-Riders-(01-Apr-2023)/File_1-1-298946.png,42,OUTSWINGER,84,FRONTFOOT OFF DRIVE,0,0,1,0,0,0,Outside Off stump,Full Length,1,0,0,0,0,0,0,0,5436,41
1,2,857,1,15,Punjab Kings,Simran Singh,Umesh Yadav,,1,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,,,0,0.2,1,1,0,298947,-7.67,-106.23,2,0,,42,OUTSWINGER,50,BACKFOOT DEFENCE,0,0,2,0,2,0,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0,5436,41
2,3,857,1,15,Punjab Kings,Simran Singh,Umesh Yadav,,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.3,1,1,0,298948,-89.17,15.32,0,0,,42,OUTSWINGER,49,FORWARD DEFENCE,0,0,3,0,2,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0,5436,41
3,4,857,1,15,Punjab Kings,Simran Singh,Umesh Yadav,,1,4,6,6,6,0,0,0,0,0,0,0,0,0,0,1,0,,,0,0.4,1,1,0,298949,153.94,-52.82,6,0,,39,ANGLED IN,40,FRONTFOOT FLICK,0,0,4,0,8,0,Off stump,Good Length,0,0,0,0,0,0,0,0,5436,41
4,5,857,1,15,Punjab Kings,Simran Singh,Umesh Yadav,,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.5,1,1,0,298950,-38.06,23.15,0,0,,42,OUTSWINGER,97,BACKFOOT PUSH,0,0,5,0,8,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0,5436,41
5,6,857,1,15,Punjab Kings,Simran Singh,Umesh Yadav,,1,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0.6,1,1,0,298951,23.18,-48.68,1,0,,42,OUTSWINGER,51,FRONTFOOT COVERDRIVE,0,0,6,0,9,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0,5436,41
6,1,857,1,15,Punjab Kings,Simran Singh,Tim Southee,,2,1,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,1.1,1,1,0,298952,64.15,-132.01,4,0,,39,ANGLED IN,40,FRONTFOOT FLICK,0,0,1,1,13,0,Leg stump,Good Length,1,0,0,0,0,0,0,0,5436,41
7,2,857,1,15,Punjab Kings,Simran Singh,Tim Southee,,2,2,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,1.2,1,1,0,298953,-66.15,211.47,4,0,,38,STRAIGHT BALL,21,STEP DOWN OFF DRIVE,0,0,2,1,17,0,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0,5436,41
8,3,857,1,15,Punjab Kings,Simran Singh,Tim Southee,,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.3,1,1,0,298954,-81.80,-7.70,0,0,,38,STRAIGHT BALL,97,BACKFOOT PUSH,0,0,3,1,17,0,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0,5436,41
9,4,857,1,15,Punjab Kings,Simran Singh,Tim Southee,,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.4,1,1,0,298955,-1.23,36.96,0,0,,42,OUTSWINGER,50,BACKFOOT DEFENCE,0,0,4,1,17,0,Off stump,Good Length,0,0,0,0,0,0,0,0,5436,41
10,5,857,1,15,Punjab Kings,Simran Singh,Tim Southee,,2,5,6,6,6,0,0,0,0,0,0,0,0,0,0,1,0,,,0,1.5,1,1,0,298956,163.61,118.92,6,0,,39,ANGLED IN,94,STEP DOWN LOFTED ON DRIVE,0,0,5,1,23,0,Off stump,Short of Good Length,0,0,0,0,0,0,0,0,5436,41
11,6,857,1,15,Punjab Kings,Simran Singh,Tim Southee,,2,6,0 WK,W,0,0,0,0,1,0,0,0,0,0,0,0,1,Caught,WICKET,1,1.6,1,1,0,298957,163.61,118.92,0,0,,39,ANGLED IN,54,LEG GLANCE,0,0,6,1,23,1,Leg stump,Good Length,1,0,0,0,0,0,0,0,5436,41
13,1,857,1,15,Punjab Kings,Shikhar Dhawan,Umesh Yadav,,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.1,1,1,0,298958,70.14,79.32,0,0,,30,ANGLED ACROSS,84,FRONTFOOT OFF DRIVE,0,0,1,2,23,1,Middle stump,Good Length,2,0,0,0,0,0,0,0,41,
14,2,857,1,15,Punjab Kings,Shikhar Dhawan,Umesh Yadav,,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.2,1,1,0,298959,58.17,15.32,0,0,,30,ANGLED ACROSS,50,BACKFOOT DEFENCE,0,0,2,2,23,1,Leg stump,Short of Good Length,0,0,0,0,0,0,0,0,41,
15,3,857,1,15,Punjab Kings,Shikhar Dhawan,Umesh Yadav,,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.3,1,1,0,298960,95.46,-4.94,0,0,,30,ANGLED ACROSS,97,BACKFOOT PUSH,0,0,3,2,23,1,Leg stump,Short of Good Length,0,0,0,0,0,0,0,0,41,
16,4,857,1,15,Punjab Kings,Shikhar Dhawan,Umesh Yadav,,3,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,2.4,1,1,0,298961,92.70,-89.65,1,0,,30,ANGLED ACROSS,44,GLIDE,0,0,4,2,24,1,Outside Off stump,Full Length,0,0,0,0,0,0,0,0,41,
17,5,857,1,15,Punjab Kings,Bhanuka Rajapaksa,Umesh Yadav,,3,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.5,1,1,0,298962,57.71,29.14,0,0,,30,ANGLED ACROSS,49,FORWARD DEFENCE,0,0,5,2,24,1,Leg stump,Good Length,0,0,0,0,0,0,0,0,,41
18,6,857,1,15,Punjab Kings,Bhanuka Rajapaksa,Umesh Yadav,,3,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.6,1,1,0,298963,89.94,32.82,0,0,,20,BACKHAND SLOWER,51,FRONTFOOT COVERDRIVE,0,0,6,2,24,1,Outside Off stump,Good Length,0,0,0,0,0,0,0,0,,41
19,1,857,1,15,Punjab Kings,Shikhar Dhawan,Tim Southee,,4,1,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,3.1,1,1,0,298964,177.42,90.83,4,0,,30,ANGLED ACROSS,51,FRONTFOOT COVERDRIVE,0,0,1,3,28,1,Outside Off stump,Good Length,1,0,0,0,0,0,0,0,41,
20,2,857,1,15,Punjab Kings,Shikhar Dhawan,Tim Southee,,4,2,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,3.2,1,1,0,298965,180.18,6.58,4,0,,30,ANGLED ACROSS,51,FRONTFOOT COVERDRIVE,0,0,2,3,32,1,Outside Off stump,Good Length,0,0,0,0,0,0,0,0,41,
21,3,857,1,15,Punjab Kings,Shikhar Dhawan,Tim Southee,,4,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,3.3,1,1,0,298966,91.78,-12.76,1,0,,39,ANGLED IN,27,FORWARD PUSH,0,0,3,3,33,1,Outside Off stump,Good Length,0,0,0,0,0,0,0,0,41,
22,4,857,1,15,Punjab Kings,Bhanuka Rajapaksa,Tim Southee,,4,4,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,,,0,3.4,1,1,0,298967,-131.07,26.83,2,0,,39,ANGLED IN,40,FRONTFOOT FLICK,0,0,4,3,35,1,Outside Off stump,Good Length,0,0,0,0,0,0,0,0,,41
23,5,857,1,15,Punjab Kings,Bhanuka Rajapaksa,Tim Southee,,4,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,3.5,1,1,0,298968,98.69,-34.86,1,0,,8,OFF CUTTER,97,BACKFOOT PUSH,0,0,5,3,36,1,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0,,41
24,6,857,1,15,Punjab Kings,Shikhar Dhawan,Tim Southee,,4,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,3.6,1,1,0,298969,98.69,-34.86,0,0,,38,STRAIGHT BALL,89,STEP DOWN COVER DRIVE,0,0,6,3,36,1,Outside Off stump,Good Length,0,0,0,0,0,0,0,0,41,
25,1,857,1,15,Punjab Kings,Bhanuka Rajapaksa,Sunil Narine,,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,4.1,1,1,0,298970,79.35,-34.86,0,0,,25,OFF SPIN,27,FORWARD PUSH,0,0,1,4,36,1,Outside Off stump,Good Length,1,0,0,0,0,0,0,0,,41
26,2,857,1,15,Punjab Kings,Bhanuka Rajapaksa,Sunil Narine,,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,4.2,1,1,0,298971,48.50,53.54,0,0,,25,OFF SPIN,49,FORWARD DEFENCE,0,0,2,4,36,1,Outside Off stump,Good Length,0,0,0,0,0,0,0,0,,41
27,3,857,1,15,Punjab Kings,Bhanuka Rajapaksa,Sunil Narine,,5,3,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,4.3,1,1,0,298972,81.19,187.06,4,0,,33,CARROM BALL,122,STEP DOWN LOFTED OFF DRIVE,0,0,3,4,40,1,Outside Off stump,Good Length,0,0,0,0,0,0,0,0,,41
28,4,857,1,15,Punjab Kings,Bhanuka Rajapaksa,Sunil Narine,,5,4,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,4.4,1,1,0,298973,155.78,119.84,4,0,,33,CARROM BALL,61,INSIDE OUT,0,0,4,4,44,1,Outside Off stump,Full Length,0,0,0,0,0,0,0,0,,41
29,5,857,1,15,Punjab Kings,Bhanuka Rajapaksa,Sunil Narine,,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,4.5,1,1,0,298974,155.78,119.84,0,0,,33,CARROM BALL,12,NO SHOT,0,0,5,4,44,1,Off stump,Good Length,0,0,0,0,0,0,0,0,,41
30,6,857,1,15,Punjab Kings,Bhanuka Rajapaksa,Sunil Narine,,5,6,6,6,6,0,0,0,0,0,0,0,0,0,0,1,0,,,0,4.6,1,1,0,298975,-11.82,212.39,6,0,,33,CARROM BALL,69,STEP DOWN LOFTED STRAIGHT DRIVE,0,0,6,4,50,1,Outside Off stump,Good Length,0,1,1,0,1,0,0,0,,41
31,1,857,1,15,Punjab Kings,Shikhar Dhawan,Varun Chakaravarthy,,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,5.1,1,1,0,298976,-70.29,47.55,0,0,,28,GOOGLY,97,BACKFOOT PUSH,0,0,1,5,50,1,Outside Off stump,Good Length,1,0,1,0,0,0,0,0,41,
32,2,857,1,15,Punjab Kings,Shikhar Dhawan,Varun Chakaravarthy,,6,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,5.2,1,1,0,298977,-87.33,46.63,0,0,,28,GOOGLY,58,BACKFOOT PULL SHOT,0,0,2,5,50,1,Outside Off stump,Short of Good Length,0,0,1,0,0,0,0,0,41,
33,3,857,1,15,Punjab Kings,Shikhar Dhawan,Varun Chakaravarthy,,6,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,5.3,1,1,0,298978,86.26,113.86,1,0,,28,GOOGLY,6,BACKFOOT OFF DRIVE,0,0,3,5,51,1,Off stump,Good Length,0,0,1,0,0,0,0,0,41,
34,4,857,1,15,Punjab Kings,Bhanuka Rajapaksa,Varun Chakaravarthy,,6,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,5.4,1,1,0,298979,-73.51,-25.65,0,0,,15,FASTER ONE,46,FRONTFOOT PULL SHOT,0,0,4,5,51,1,Outside Off stump,Short of Good Length,0,0,1,0,0,0,0,0,,41
35,5,857,1,15,Punjab Kings,Bhanuka Rajapaksa,Varun Chakaravarthy,,6,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,5.5,1,1,0,298980,37.45,-56.96,1,0,,28,GOOGLY,35,LATE CUT,0,0,5,5,52,1,Outside Off stump,Good Length,0,0,1,0,0,0,0,0,,41
36,6,857,1,15,Punjab Kings,Shikhar Dhawan,Varun Chakaravarthy,,6,6,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,5.6,1,1,0,298981,178.80,82.55,4,0,,28,GOOGLY,15,LOFTED COVER DRIVE,0,0,6,5,56,1,Outside Leg stump,Good Length,0,0,1,0,0,0,0,0,41,
37,1,857,1,15,Punjab Kings,Bhanuka Rajapaksa,Shardul Thakur,,7,1,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,,,0,6.1,1,1,0,298982,-157.77,16.71,2,0,,30,ANGLED ACROSS,46,FRONTFOOT PULL SHOT,0,0,1,6,58,1,Leg stump,Short of Good Length,1,0,1,0,0,0,0,0,,41
38,2,857,1,15,Punjab Kings,Bhanuka Rajapaksa,Shardul Thakur,,7,2,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,6.2,1,1,0,298983,19.95,211.93,4,0,,30,ANGLED ACROSS,1,STEP DOWN STRAIGHT DRIVE,0,0,2,6,62,1,Off stump,Good Length,0,0,1,0,0,0,0,0,,41
39,3,857,1,15,Punjab Kings,Bhanuka Rajapaksa,Shardul Thakur,,7,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,6.3,1,1,0,298984,19.95,211.93,0,0,,30,ANGLED ACROSS,36,CUT SHOT,0,0,3,6,62,1,Outside Leg stump,Short Length,0,0,1,0,0,0,0,0,,41
