,ActualBallNo,MatchID,InningsNo,BattingTeamID,TeamName,BatsManName,BowlerName,BowlerType,OverNo,BallNo,Runs,BallRuns,ActualRuns,IsOne,IsTwo,IsThree,IsDotball,Extras,IsWide,IsNoBall,IsBye,IsLegBye,IsFour,IsSix,IsWicket,WicketType,Wickets,IsBowlerWicket,BallName,Day,SESSION_NO,IsExtra,SNO,Xpitch,Ypitch,RunRuns,IsMaiden,OverImage,BowlTypeID,BowlTypeName,ShotTypeID,ShotType,IsBouncer,IsFreeHit,BallCount,BCCheck,TotalRuns,TotalWickets,BOWLING_LINE_ID,BOWLING_LENGTH_ID,FiveHaul,Flag,FlagSet,PenaltyRuns,IsFifty,IsHundred,IsTwoHundred,IsHattrick
0,1,1839,1,20,Sunrisers Hyderabad,Travis Head,Deepak Chahar,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.1,1,1,0,611627,-54.50,39.00,0,0,,42,OUTSWINGER,49,FORWARD DEFENCE,0,0,1,0,0,0,Outside Leg stump,Good Length,1,0,0,0,0,0,0,0
1,2,1839,1,20,Sunrisers Hyderabad,Travis Head,Deepak Chahar,,1,2,1 (LB),1,0,0,0,0,1,1,0,0,0,1,0,0,0,,,0,0.2,1,1,1,611628,-54.50,39.00,1,0,,41,INSWINGER,37,STEP DOWN FLICK,0,0,2,0,1,0,Leg stump,Good Length,0,0,0,0,0,0,0,0
2,3,1839,1,20,Sunrisers Hyderabad,Abhishek Sharma,Deepak Chahar,,1,3,1 (WD),1,0,0,0,0,0,1,1,0,0,0,0,0,0,,,0,0.3,1,1,1,611629,-54.50,39.00,1,0,,38,STRAIGHT BALL,105,LEFT ALONE,0,0,3,0,2,0,Outside Leg stump,Short Length,0,0,0,0,0,0,0,0
3,4,1839,1,20,Sunrisers Hyderabad,Abhishek Sharma,Deepak Chahar,,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.3,1,1,0,611630,-53.00,109.50,0,0,,42,OUTSWINGER,51,FRONTFOOT COVERDRIVE,0,0,4,0,2,0,Outside Off stump,Yorker,0,0,0,0,0,0,0,0
4,5,1839,1,20,Sunrisers Hyderabad,Abhishek Sharma,Deepak Chahar,,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.4,1,1,0,611631,0.00,59.50,0,0,,38,STRAIGHT BALL,97,BACKFOOT PUSH,0,0,5,0,2,0,Leg stump,Good Length,0,0,0,0,0,0,0,0
5,6,1839,1,20,Sunrisers Hyderabad,Abhishek Sharma,Deepak Chahar,,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.5,1,1,0,611633,95.00,37.50,0,0,,38,STRAIGHT BALL,52,BACKFOOT COVERDRIVE,0,0,6,0,2,0,Off stump,Short of Good Length,0,0,0,0,0,0,0,0
6,7,1839,1,20,Sunrisers Hyderabad,Abhishek Sharma,Deepak Chahar,,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.6,1,1,0,611637,97.50,27.50,0,0,,38,STRAIGHT BALL,52,BACKFOOT COVERDRIVE,0,0,7,0,2,0,Off stump,Short of Good Length,0,0,0,0,0,0,0,0
7,1,1839,1,20,Sunrisers Hyderabad,Travis Head,Trent Boult,,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.1,1,1,0,611640,97.50,27.50,0,0,,39,ANGLED IN,40,FRONTFOOT FLICK,0,0,1,1,2,0,Off stump,Good Length,1,0,0,0,0,0,0,0
8,2,1839,1,20,Sunrisers Hyderabad,Travis Head,Trent Boult,,2,2,0 WK,W,0,0,0,0,1,0,0,0,0,0,0,0,1,Caught,WICKET,1,1.2,1,1,0,611641,135.50,-26.50,0,0,,38,STRAIGHT BALL,15,LOFTED COVER DRIVE,0,0,2,1,2,1,Outside Off stump,Short of Good Length,2,0,0,0,0,0,0,0
9,3,1839,1,20,Sunrisers Hyderabad,Ishan Kishan,Trent Boult,,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.3,1,1,0,611647,135.50,-26.50,0,0,,42,OUTSWINGER,16,BACKFOOT SQUARE DRIVE,0,0,3,1,2,1,Outside Off stump,Short of Good Length,3,0,0,0,0,0,0,0
10,4,1839,1,20,Sunrisers Hyderabad,Ishan Kishan,Trent Boult,,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.4,1,1,0,611649,135.50,-26.50,0,0,,42,OUTSWINGER,49,FORWARD DEFENCE,0,0,4,1,2,1,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0
11,5,1839,1,20,Sunrisers Hyderabad,Ishan Kishan,Trent Boult,,2,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,1.5,1,1,0,611650,61.00,101.00,1,0,,42,OUTSWINGER,84,FRONTFOOT OFF DRIVE,0,0,5,1,3,1,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
12,6,1839,1,20,Sunrisers Hyderabad,Abhishek Sharma,Trent Boult,,2,6,6,6,6,0,0,0,0,0,0,0,0,0,0,1,0,,,0,1.6,1,1,0,611651,-207.00,101.00,6,0,,39,ANGLED IN,11,LOFTED ON DRIVE,0,0,6,1,9,1,Off stump,Full Length,0,0,0,0,0,0,0,0
13,1,1839,1,20,Sunrisers Hyderabad,Ishan Kishan,Deepak Chahar,,3,1,0 WK,W,0,0,0,0,1,0,0,0,0,0,0,0,1,Caught,WICKET,1,2.1,1,1,0,611653,-207.00,101.00,0,0,,41,INSWINGER,54,LEG GLANCE,0,0,1,2,9,2,Outside Leg stump,Short of Good Length,1,0,0,0,0,0,0,0
14,2,1839,1,20,Sunrisers Hyderabad,Nitish Kumar Reddy,Deepak Chahar,,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.2,1,1,0,611658,65.00,46.00,0,0,,41,INSWINGER,97,BACKFOOT PUSH,0,0,2,2,9,2,Outside Off stump,Short of Good Length,2,0,0,0,0,0,0,0
15,3,1839,1,20,Sunrisers Hyderabad,Nitish Kumar Reddy,Deepak Chahar,,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.3,1,1,0,611659,38.50,108.50,0,0,,42,OUTSWINGER,27,FORWARD PUSH,0,0,3,2,9,2,Off stump,Good Length,0,0,0,0,0,0,0,0
16,4,1839,1,20,Sunrisers Hyderabad,Nitish Kumar Reddy,Deepak Chahar,,3,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.4,1,1,0,611664,-2.50,78.50,0,0,,39,ANGLED IN,53,FRONTFOOT STRAIGHT DRIVE,0,0,4,2,9,2,Off stump,Full Length,0,0,0,0,0,0,0,0
17,5,1839,1,20,Sunrisers Hyderabad,Nitish Kumar Reddy,Deepak Chahar,,3,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,2.5,1,1,0,611665,-81.00,-100.50,1,0,,38,STRAIGHT BALL,44,GLIDE,0,0,5,2,10,2,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0
18,6,1839,1,20,Sunrisers Hyderabad,Abhishek Sharma,Deepak Chahar,,3,6,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,,,0,2.6,1,1,0,611668,-142.00,-50.00,2,0,,38,STRAIGHT BALL,58,BACKFOOT PULL SHOT,0,0,6,2,12,2,Outside Leg stump,Short Length,0,0,0,0,0,0,0,0
19,1,1839,1,20,Sunrisers Hyderabad,Nitish Kumar Reddy,Trent Boult,,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,3.1,1,1,0,611669,-105.00,-80.00,1,0,,38,STRAIGHT BALL,44,GLIDE,0,0,1,3,13,2,Leg stump,Short of Good Length,1,0,0,0,0,0,0,0
20,2,1839,1,20,Sunrisers Hyderabad,Abhishek Sharma,Trent Boult,,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,3.2,1,1,0,611671,84.00,46.50,0,0,,38,STRAIGHT BALL,51,FRONTFOOT COVERDRIVE,0,0,2,3,13,2,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
21,3,1839,1,20,Sunrisers Hyderabad,Abhishek Sharma,Trent Boult,,4,3,0 WK,W,0,0,0,0,1,0,0,0,0,0,0,0,1,Caught,WICKET,1,3.3,1,1,0,611674,110.00,14.00,0,0,,38,STRAIGHT BALL,15,LOFTED COVER DRIVE,0,0,3,3,13,3,Outside Off stump,Good Length,1,0,0,0,0,0,0,0
22,4,1839,1,20,Sunrisers Hyderabad,Heinrich Klaasen,Trent Boult,,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,3.4,1,1,0,611683,110.00,14.00,0,0,,30,ANGLED ACROSS,36,CUT SHOT,0,0,4,3,13,3,Outside Off stump,Full Length,2,0,0,0,0,0,0,0
23,5,1839,1,20,Sunrisers Hyderabad,Heinrich Klaasen,Trent Boult,,4,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,3.5,1,1,0,611685,-69.50,39.00,0,0,,38,STRAIGHT BALL,51,FRONTFOOT COVERDRIVE,0,0,5,3,13,3,Off stump,Good Length,0,0,0,0,0,0,0,0
24,6,1839,1,20,Sunrisers Hyderabad,Heinrich Klaasen,Trent Boult,,4,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,3.6,1,1,0,611688,-90.00,-15.00,0,0,,38,STRAIGHT BALL,36,CUT SHOT,0,0,6,3,13,3,Leg stump,Short of Good Length,0,0,0,0,0,0,0,0
25,1,1839,1,20,Sunrisers Hyderabad,Nitish Kumar Reddy,Deepak Chahar,,5,1,0 WK,W,0,0,0,0,1,0,0,0,0,0,0,0,1,Caught,WICKET,1,4.1,1,1,0,611693,44.50,115.50,0,0,,39,ANGLED IN,11,LOFTED ON DRIVE,0,0,1,4,13,4,Off stump,Good Length,1,0,0,0,0,0,0,0
26,2,1839,1,20,Sunrisers Hyderabad,Aniket Verma,Deepak Chahar,,5,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,4.2,1,1,0,611694,-102.00,-81.50,1,0,,38,STRAIGHT BALL,44,GLIDE,0,0,2,4,14,4,Outside Off stump,Good Length,2,0,0,0,0,0,0,0
27,3,1839,1,20,Sunrisers Hyderabad,Heinrich Klaasen,Deepak Chahar,,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,4.3,1,1,0,611695,-53.00,97.00,0,0,,38,STRAIGHT BALL,6,BACKFOOT OFF DRIVE,0,0,3,4,14,4,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0
28,4,1839,1,20,Sunrisers Hyderabad,Heinrich Klaasen,Deepak Chahar,,5,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,4.4,1,1,0,611696,-56.50,95.50,1,0,,38,STRAIGHT BALL,84,FRONTFOOT OFF DRIVE,0,0,4,4,15,4,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0
29,5,1839,1,20,Sunrisers Hyderabad,Aniket Verma,Deepak Chahar,,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,4.5,1,1,0,611697,-71.50,-14.00,0,0,,38,STRAIGHT BALL,97,BACKFOOT PUSH,0,0,5,4,15,4,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0
30,6,1839,1,20,Sunrisers Hyderabad,Aniket Verma,Deepak Chahar,,5,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,4.6,1,1,0,611699,-73.00,-20.00,0,0,,38,STRAIGHT BALL,16,BACKFOOT SQUARE DRIVE,0,0,6,4,15,4,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0
31,1,1839,1,20,Sunrisers Hyderabad,Heinrich Klaasen,Jasprit Bumrah,,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,5.1,1,1,0,611703,-46.50,97.00,0,0,,39,ANGLED IN,27,FORWARD PUSH,0,0,1,5,15,4,Outside Off stump,Good Length,1,0,0,0,0,0,0,0
32,2,1839,1,20,Sunrisers Hyderabad,Heinrich Klaasen,Jasprit Bumrah,,6,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,5.2,1,1,0,611705,-66.50,97.00,1,0,,38,STRAIGHT BALL,6,BACKFOOT OFF DRIVE,0,0,2,5,16,4,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0
33,3,1839,1,20,Sunrisers Hyderabad,Aniket Verma,Jasprit Bumrah,,6,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,5.3,1,1,0,611708,-65.50,-9.50,0,0,,39,ANGLED IN,50,BACKFOOT DEFENCE,0,0,3,5,16,4,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0
34,4,1839,1,20,Sunrisers Hyderabad,Aniket Verma,Jasprit Bumrah,,6,4,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,5.4,1,1,0,611709,118.50,-120.50,4,0,,47,SLOWER BALL,40,FRONTFOOT FLICK,0,0,4,5,20,4,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0
35,5,1839,1,20,Sunrisers Hyderabad,Aniket Verma,Jasprit Bumrah,,6,5,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,,,0,5.5,1,1,0,611710,133.00,-66.00,2,0,,39,ANGLED IN,54,LEG GLANCE,0,0,5,5,22,4,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0
36,6,1839,1,20,Sunrisers Hyderabad,Aniket Verma,Jasprit Bumrah,,6,6,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,,,0,5.6,1,1,0,611713,171.00,57.50,2,0,,39,ANGLED IN,58,BACKFOOT PULL SHOT,0,0,6,5,24,4,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0
37,1,1839,1,20,Sunrisers Hyderabad,Heinrich Klaasen,Deepak Chahar,,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,6.1,1,1,0,611716,-15.50,65.00,0,0,,38,STRAIGHT BALL,27,FORWARD PUSH,0,0,1,6,24,4,Outside Off stump,Good Length,1,0,0,0,0,0,0,0
38,2,1839,1,20,Sunrisers Hyderabad,Heinrich Klaasen,Deepak Chahar,,7,2,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,6.2,1,1,0,611719,195.00,79.50,4,0,,38,STRAIGHT BALL,58,BACKFOOT PULL SHOT,0,0,2,6,28,4,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0
39,3,1839,1,20,Sunrisers Hyderabad,Heinrich Klaasen,Deepak Chahar,,7,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,6.3,1,1,0,611720,-60.50,104.50,0,0,,38,STRAIGHT BALL,84,FRONTFOOT OFF DRIVE,0,0,3,6,28,4,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
40,4,1839,1,20,Sunrisers Hyderabad,Heinrich Klaasen,Deepak Chahar,,7,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,6.4,1,1,0,611721,-58.50,101.00,0,0,,38,STRAIGHT BALL,84,FRONTFOOT OFF DRIVE,0,0,4,6,28,4,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
41,5,1839,1,20,Sunrisers Hyderabad,Heinrich Klaasen,Deepak Chahar,,7,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,6.5,1,1,0,611724,62.50,169.50,1,0,,39,ANGLED IN,101,BACKFOOT ON DRIVE,0,0,5,6,29,4,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0
42,6,1839,1,20,Sunrisers Hyderabad,Aniket Verma,Deepak Chahar,,7,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,6.6,1,1,0,611726,-149.00,63.50,1,0,,38,STRAIGHT BALL,51,FRONTFOOT COVERDRIVE,0,0,6,6,30,4,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
43,1,1839,1,20,Sunrisers Hyderabad,Aniket Verma,Mitchell Santner,,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,7.1,1,1,0,611729,-149.00,63.50,0,0,,10,ORTHODOX,58,BACKFOOT PULL SHOT,0,0,1,7,30,4,Leg stump,Short of Good Length,1,0,0,0,0,0,0,0
44,2,1839,1,20,Sunrisers Hyderabad,Aniket Verma,Mitchell Santner,,8,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,7.2,1,1,0,611731,100.00,82.00,1,0,,10,ORTHODOX,27,FORWARD PUSH,0,0,2,7,31,4,Middle stump,Full Length,0,0,0,0,0,0,0,0
45,3,1839,1,20,Sunrisers Hyderabad,Heinrich Klaasen,Mitchell Santner,,8,3,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,,,0,7.3,1,1,0,611732,-147.50,-38.50,2,0,,10,ORTHODOX,36,CUT SHOT,0,0,3,7,33,4,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
46,4,1839,1,20,Sunrisers Hyderabad,Heinrich Klaasen,Mitchell Santner,,8,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,7.4,1,1,0,611733,-71.50,53.50,0,0,,10,ORTHODOX,27,FORWARD PUSH,0,0,4,7,33,4,Outside Off stump,Full Length,0,0,0,0,0,0,0,0
47,5,1839,1,20,Sunrisers Hyderabad,Heinrich Klaasen,Mitchell Santner,,8,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,7.5,1,1,0,611735,-154.00,50.00,1,0,,10,ORTHODOX,52,BACKFOOT COVERDRIVE,0,0,5,7,34,4,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0
48,6,1839,1,20,Sunrisers Hyderabad,Aniket Verma,Mitchell Santner,,8,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,7.6,1,1,0,611737,68.50,178.50,1,0,,10,ORTHODOX,101,BACKFOOT ON DRIVE,0,0,6,7,35,4,Off stump,Good Length,0,0,0,0,0,0,0,0
49,1,1839,1,20,Sunrisers Hyderabad,Aniket Verma,Hardik Pandya,,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,8.1,1,1,0,611740,68.50,178.50,0,0,,38,STRAIGHT BALL,105,LEFT ALONE,0,0,1,8,35,4,Outside Off stump,Short Length,1,0,0,0,0,0,0,0
50,2,1839,1,20,Sunrisers Hyderabad,Aniket Verma,Hardik Pandya,,9,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,8.2,1,1,0,611743,-22.50,59.00,0,0,,38,STRAIGHT BALL,70,STEP DOWN PULL SHOT,0,0,2,8,35,4,Outside Off stump,Short Length,0,0,0,0,0,0,0,0
51,3,1839,1,20,Sunrisers Hyderabad,Aniket Verma,Hardik Pandya,,9,3,0 WK,W,0,0,0,0,1,0,0,0,0,0,0,0,1,Caught,WICKET,1,8.3,1,1,0,611745,-22.50,59.00,0,0,https://scores.bcci.tv/matchcentre/commentaryFiles/TATA-IPL-2025/Sunrisers-Hyderabad-VS-Mumbai-Indians-(23-Apr-2025)/File_1-9-611745.gif,38,STRAIGHT BALL,58,BACKFOOT PULL SHOT,0,0,3,8,35,5,Outside Off stump,Short Length,1,0,0,0,0,0,0,0
52,4,1839,1,20,Sunrisers Hyderabad,Abhinav Manohar,Hardik Pandya,,9,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,8.4,1,1,0,611752,-25.00,65.00,0,0,https://scores.bcci.tv/matchcentre/commentaryFiles/TATA-IPL-2025/Sunrisers-Hyderabad-VS-Mumbai-Indians-(23-Apr-2025)/File_1-9-611752.jpg,39,ANGLED IN,50,BACKFOOT DEFENCE,0,0,4,8,35,5,Outside Off stump,Short of Good Length,2,0,0,0,0,0,0,0
53,5,1839,1,20,Sunrisers Hyderabad,Abhinav Manohar,Hardik Pandya,,9,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,8.5,1,1,0,611753,-80.00,-6.50,1,0,,47,SLOWER BALL,27,FORWARD PUSH,0,0,5,8,36,5,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0
54,6,1839,1,20,Sunrisers Hyderabad,Heinrich Klaasen,Hardik Pandya,,9,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,8.6,1,1,0,611754,-147.00,55.00,1,0,,38,STRAIGHT BALL,51,FRONTFOOT COVERDRIVE,0,0,6,8,37,5,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0
55,1,1839,1,20,Sunrisers Hyderabad,Heinrich Klaasen,Vignesh Puthur,,10,1,6,6,6,0,0,0,0,0,0,0,0,0,0,1,0,,,0,9.1,1,1,0,611756,183.00,105.00,6,0,,34,CHINAMAN,58,BACKFOOT PULL SHOT,0,0,1,9,43,5,Leg stump,Short of Good Length,1,0,0,0,0,0,0,0
56,2,1839,1,20,Sunrisers Hyderabad,Heinrich Klaasen,Vignesh Puthur,,10,2,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,9.2,1,1,0,611757,-198.00,102.50,4,0,,28,GOOGLY,15,LOFTED COVER DRIVE,0,0,2,9,47,5,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0
57,3,1839,1,20,Sunrisers Hyderabad,Heinrich Klaasen,Vignesh Puthur,,10,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,9.3,1,1,0,611759,16.50,62.50,0,0,,34,CHINAMAN,27,FORWARD PUSH,0,0,3,9,47,5,Leg stump,Full Length,0,0,0,0,0,0,0,0
58,4,1839,1,20,Sunrisers Hyderabad,Heinrich Klaasen,Vignesh Puthur,,10,4,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,9.4,1,1,0,611761,202.50,14.00,4,0,,34,CHINAMAN,58,BACKFOOT PULL SHOT,0,0,4,9,51,5,Outside Leg stump,Short of Good Length,0,1,1,0,1,0,0,0
59,5,1839,1,20,Sunrisers Hyderabad,Heinrich Klaasen,Vignesh Puthur,,10,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,9.5,1,1,0,611763,-67.50,52.00,0,0,,34,CHINAMAN,52,BACKFOOT COVERDRIVE,0,0,5,9,51,5,Leg stump,Good Length,0,0,1,0,0,0,0,0
60,6,1839,1,20,Sunrisers Hyderabad,Heinrich Klaasen,Vignesh Puthur,,10,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,9.6,1,1,0,611765,-97.00,162.00,1,0,,34,CHINAMAN,84,FRONTFOOT OFF DRIVE,0,0,6,9,52,5,Middle stump,Full Length,0,0,1,0,0,0,0,0
61,1,1839,1,20,Sunrisers Hyderabad,Heinrich Klaasen,Hardik Pandya,,11,1,1 (WD),1,0,0,0,0,0,1,1,0,0,0,0,0,0,,,0,10.1,1,1,1,611767,-97.00,162.00,1,0,,47,SLOWER BALL,105,LEFT ALONE,0,0,1,10,53,5,Outside Off stump,Short Length,1,0,1,0,0,0,0,0
