,ActualBallNo,MatchID,InningsNo,BattingTeamID,TeamName,BatsManName,BowlerName,BowlerType,OverNo,BallNo,Runs,BallRuns,ActualRuns,IsOne,IsTwo,IsThree,IsDotball,Extras,IsWide,IsNoBall,IsBye,IsLegBye,IsFour,IsSix,IsWicket,WicketType,Wickets,IsBowlerWicket,BallName,Day,SESSION_NO,IsExtra,SNO,Xpitch,Ypitch,RunRuns,IsMaiden,OverImage,BowlTypeID,BowlTypeName,ShotTypeID,ShotType,IsBouncer,IsFreeHit,BallCount,BCCheck,TotalRuns,TotalWickets,BOWLING_LINE_ID,BOWLING_LENGTH_ID,FiveHaul,Flag,FlagSet,PenaltyRuns,IsFifty,IsHundred,IsTwoHundred,IsHattrick
0,1,2537,1,18,Rajasthan Royals,Yashasvi Jaiswal,Mohammed Siraj,,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0.1,1,1,0,837501,102.50,32.00,1,0,,,Knuckleball,52,BACKFOOT COVERDRIVE,0,0,1,0,1,0,Off stump,Short of Good Length,1,0,0,0,0,0,0,0
1,2,2537,1,18,Rajasthan Royals,Vaibhav Sooryavanshi,Mohammed Siraj,,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.2,1,1,0,837502,35.50,97.00,0,0,,,Knuckleball,97,BACKFOOT PUSH,0,0,2,0,1,0,Off stump,Short of Good Length,0,0,0,0,0,0,0,0
2,3,2537,1,18,Rajasthan Royals,Vaibhav Sooryavanshi,Mohammed Siraj,,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0.3,1,1,0,837503,-149.50,-11.00,1,0,,30,ANGLED ACROSS,58,BACKFOOT PULL SHOT,0,0,3,0,2,0,Leg stump,Short of Good Length,0,0,0,0,0,0,0,0
3,4,2537,1,18,Rajasthan Royals,Yashasvi Jaiswal,Mohammed Siraj,,1,4,0 WK,W,0,0,0,0,1,0,0,0,0,0,0,0,1,Caught,WICKET,1,0.4,1,1,0,837504,-146.50,-55.50,0,0,,,Knuckleball,58,BACKFOOT PULL SHOT,0,0,4,0,2,1,Outside Leg stump,Short Length,1,0,0,0,0,0,0,0
4,5,2537,1,18,Rajasthan Royals,Dhruv Jurel,Mohammed Siraj,,1,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0.5,1,1,0,837505,-145.00,-63.00,1,0,,,Knuckleball,36,CUT SHOT,0,0,5,0,3,1,Outside Off stump,Good Length,2,0,0,0,0,0,0,0
5,6,2537,1,18,Rajasthan Royals,Vaibhav Sooryavanshi,Mohammed Siraj,,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.6,1,1,0,837506,-145.00,-63.00,0,0,,,Knuckleball,58,BACKFOOT PULL SHOT,0,0,6,0,3,1,Leg stump,Short Length,0,0,0,0,0,0,0,0
6,1,2537,1,18,Rajasthan Royals,Dhruv Jurel,Kagiso Rabada,,2,1,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,,,0,1.1,1,1,0,837507,169.50,42.00,2,0,,,Knuckleball,97,BACKFOOT PUSH,0,0,1,1,5,1,Off stump,Short of Good Length,1,0,0,0,0,0,0,0
7,2,2537,1,18,Rajasthan Royals,Dhruv Jurel,Kagiso Rabada,,2,2,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,1.2,1,1,0,837508,-195.00,-47.00,4,0,,,Knuckleball,36,CUT SHOT,0,0,2,1,9,1,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0
8,3,2537,1,18,Rajasthan Royals,Dhruv Jurel,Kagiso Rabada,,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.3,1,1,0,837509,90.00,38.50,0,0,,39,ANGLED IN,47,FRONTFOOT ON DRIVE,0,0,3,1,9,1,Off stump,Full Length,0,0,0,0,0,0,0,0
9,4,2537,1,18,Rajasthan Royals,Dhruv Jurel,Kagiso Rabada,,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.4,1,1,0,837510,9.00,76.50,0,0,,39,ANGLED IN,53,FRONTFOOT STRAIGHT DRIVE,0,0,4,1,9,1,Off stump,Good Length,0,0,0,0,0,0,0,0
10,5,2537,1,18,Rajasthan Royals,Dhruv Jurel,Kagiso Rabada,,2,5,0 WK,W,0,0,0,0,1,0,0,0,0,0,0,0,1,Caught,WICKET,1,1.5,1,1,0,837511,-52.50,123.00,0,0,,,Knuckleball,5,LOFTED OFF DRIVE,0,0,5,1,9,2,Off stump,Good Length,1,0,0,0,0,0,0,0
11,6,2537,1,18,Rajasthan Royals,Ravindra Jadeja,Kagiso Rabada,,2,6,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,1.6,1,1,0,837512,58.50,-148.00,4,0,,,Knuckleball,44,GLIDE,0,0,6,1,13,2,Off stump,Good Length,2,0,0,0,0,0,0,0
12,1,2537,1,18,Rajasthan Royals,Vaibhav Sooryavanshi,Mohammed Siraj,,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.1,1,1,0,837513,58.50,-148.00,0,0,,,Knuckleball,58,BACKFOOT PULL SHOT,0,0,1,2,13,2,Outside Leg stump,Short Length,3,0,0,0,0,0,0,0
13,2,2537,1,18,Rajasthan Royals,Vaibhav Sooryavanshi,Mohammed Siraj,,3,2,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,2.2,1,1,0,837514,-100.50,216.50,4,0,,,Knuckleball,11,LOFTED ON DRIVE,0,0,2,2,17,2,Leg stump,Good Length,0,0,0,0,0,0,0,0
14,3,2537,1,18,Rajasthan Royals,Vaibhav Sooryavanshi,Mohammed Siraj,,3,3,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,,,0,2.3,1,1,0,837515,-169.00,-12.50,2,0,,,Knuckleball,58,BACKFOOT PULL SHOT,0,0,3,2,19,2,Leg stump,Short of Good Length,0,0,0,0,0,0,0,0
15,4,2537,1,18,Rajasthan Royals,Vaibhav Sooryavanshi,Mohammed Siraj,,3,4,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,,,0,2.4,1,1,0,837516,-168.50,27.50,2,0,,,Knuckleball,40,FRONTFOOT FLICK,0,0,4,2,21,2,Leg stump,Good Length,0,0,0,0,0,0,0,0
16,5,2537,1,18,Rajasthan Royals,Vaibhav Sooryavanshi,Mohammed Siraj,,3,5,5 (WD),5,0,0,0,0,0,5,1,0,0,0,1,0,0,,,0,2.5,1,1,1,837517,-168.50,27.50,5,0,,,Knuckleball,105,LEFT ALONE,0,0,5,2,26,2,Outside Leg stump,Short Length,0,0,0,0,0,0,0,0
17,6,2537,1,18,Rajasthan Royals,Vaibhav Sooryavanshi,Mohammed Siraj,,3,5,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,2.5,1,1,0,837518,-81.00,-142.00,4,0,,,Knuckleball,40,FRONTFOOT FLICK,0,0,6,2,30,2,Leg stump,Good Length,0,0,0,0,0,0,0,0
18,7,2537,1,18,Rajasthan Royals,Vaibhav Sooryavanshi,Mohammed Siraj,,3,6,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,2.6,1,1,0,837519,-170.00,-86.00,4,0,,,Knuckleball,40,FRONTFOOT FLICK,0,0,7,2,34,2,Leg stump,Good Length,0,0,0,0,0,0,0,0
19,1,2537,1,18,Rajasthan Royals,Ravindra Jadeja,Kagiso Rabada,,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,3.1,1,1,0,837520,150.00,-57.50,1,0,,,Knuckleball,36,CUT SHOT,0,0,1,3,35,2,Off stump,Good Length,1,0,0,0,0,0,0,0
20,2,2537,1,18,Rajasthan Royals,Vaibhav Sooryavanshi,Kagiso Rabada,,4,2,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,3.2,1,1,0,837521,98.50,210.50,4,0,,,Knuckleball,5,LOFTED OFF DRIVE,0,0,2,3,39,2,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
21,3,2537,1,18,Rajasthan Royals,Vaibhav Sooryavanshi,Kagiso Rabada,,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,3.3,1,1,0,837522,98.50,210.50,0,0,,,Knuckleball,11,LOFTED ON DRIVE,0,0,3,3,39,2,Off stump,Short of Good Length,0,0,0,0,0,0,0,0
22,4,2537,1,18,Rajasthan Royals,Vaibhav Sooryavanshi,Kagiso Rabada,,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,3.4,1,1,0,837523,98.50,210.50,0,0,,,Knuckleball,5,LOFTED OFF DRIVE,0,0,4,3,39,2,Off stump,Short of Good Length,0,0,0,0,0,0,0,0
23,5,2537,1,18,Rajasthan Royals,Vaibhav Sooryavanshi,Kagiso Rabada,,4,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,3.5,1,1,0,837524,98.50,210.50,0,0,,,Knuckleball,15,LOFTED COVER DRIVE,0,0,5,3,39,2,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0
24,6,2537,1,18,Rajasthan Royals,Vaibhav Sooryavanshi,Kagiso Rabada,,4,6,6,6,6,0,0,0,0,0,0,0,0,0,0,1,0,,,0,3.6,1,1,0,837525,-20.50,242.50,6,0,,30,ANGLED ACROSS,13,LOFTED STRAIGHT,0,0,6,3,45,2,Off stump,Good Length,0,0,0,0,0,0,0,0
25,1,2537,1,18,Rajasthan Royals,Ravindra Jadeja,Mohammed Siraj,,5,1,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,4.1,1,1,0,837526,189.00,-64.50,4,0,,,Knuckleball,36,CUT SHOT,0,0,1,4,49,2,Outside Off stump,Good Length,1,0,0,0,0,0,0,0
26,2,2537,1,18,Rajasthan Royals,Ravindra Jadeja,Mohammed Siraj,,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,4.2,1,1,0,837527,189.00,-64.50,0,0,,,Knuckleball,36,CUT SHOT,0,0,2,4,49,2,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
27,3,2537,1,18,Rajasthan Royals,Ravindra Jadeja,Mohammed Siraj,,5,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,4.3,1,1,0,837528,138.50,-47.50,1,0,,,Knuckleball,36,CUT SHOT,0,0,3,4,50,2,Off stump,Short of Good Length,0,1,1,0,1,0,0,0
28,4,2537,1,18,Rajasthan Royals,Vaibhav Sooryavanshi,Mohammed Siraj,,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,4.4,1,1,0,837529,138.50,-47.50,0,0,,,Knuckleball,31,UPPER CUT,0,0,4,4,50,2,Leg stump,Short Length,0,0,1,0,0,0,0,0
29,5,2537,1,18,Rajasthan Royals,Vaibhav Sooryavanshi,Mohammed Siraj,,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,4.5,1,1,0,837530,138.50,-47.50,0,0,,,Knuckleball,31,UPPER CUT,0,0,5,4,50,2,Off stump,Short Length,0,0,1,0,0,0,0,0
30,6,2537,1,18,Rajasthan Royals,Vaibhav Sooryavanshi,Mohammed Siraj,,5,6,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,4.6,1,1,0,837531,173.50,-36.00,4,0,,,Knuckleball,36,CUT SHOT,0,0,6,4,54,2,Leg stump,Short Length,0,0,1,0,0,0,0,0
31,1,2537,1,18,Rajasthan Royals,Ravindra Jadeja,Prasidh Krishna,,6,1,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,,,0,5.1,1,1,0,837532,141.50,77.50,2,0,,,Knuckleball,114,STEP DOWN LOFTED COVER DRIVE,0,0,1,5,56,2,Outside Off stump,Short of Good Length,1,0,1,0,0,0,0,0
32,2,2537,1,18,Rajasthan Royals,Ravindra Jadeja,Prasidh Krishna,,6,2,6,6,6,0,0,0,0,0,0,0,0,0,0,1,0,,,0,5.2,1,1,0,837533,-111.50,-136.00,6,0,,,Knuckleball,58,BACKFOOT PULL SHOT,0,0,2,5,62,2,Outside Off stump,Short Length,0,0,1,0,0,0,0,0
33,3,2537,1,18,Rajasthan Royals,Ravindra Jadeja,Prasidh Krishna,,6,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,5.3,1,1,0,837534,1.50,6.50,0,0,,,Knuckleball,40,FRONTFOOT FLICK,0,0,3,5,62,2,Outside Leg stump,Good Length,0,0,1,0,0,0,0,0
