,ActualBallNo,MatchID,InningsNo,BattingTeamID,TeamName,BatsManName,BowlerName,BowlerType,OverNo,BallNo,Runs,BallRuns,ActualRuns,IsOne,IsTwo,IsThree,IsDotball,Extras,IsWide,IsNoBall,IsBye,IsLegBye,IsFour,IsSix,IsWicket,WicketType,Wickets,IsBowlerWicket,BallName,Day,SESSION_NO,IsExtra,SNO,Xpitch,Ypitch,RunRuns,IsMaiden,OverImage,BowlTypeID,BowlTypeName,ShotTypeID,ShotType,IsBouncer,IsFreeHit,BallCount,BCCheck,TotalRuns,TotalWickets,FiveHaul,Flag,FlagSet,PenaltyRuns,IsFifty,IsHundred,IsTwoHundred,IsHattrick
0,1,506,1,17,Mumbai Indians,Ishan Kishan,Mohammad Shami,,1,1,1 (WD),1,0,0,0,0,0,1,1,0,0,0,0,0,0,,,0,0.1,2,1,1,203001,,,1,0,,39,ANGLED IN,54,LEG GLANCE,0,0,1,0,1,0,1,0,0,0,0,0,0,0
1,2,506,1,17,Mumbai Indians,Ishan Kishan,Mohammad Shami,,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0.1,2,1,0,203002,-109.89,-64.79,1,0,,39,ANGLED IN,58,BACKFOOT PULL SHOT,0,0,2,0,2,0,0,0,0,0,0,0,0,0
2,3,506,1,17,Mumbai Indians,Rohit Sharma,Mohammad Shami,,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0.2,2,1,0,203003,-93.31,-80.45,1,0,,38,STRAIGHT BALL,50,BACKFOOT DEFENCE,0,0,3,0,3,0,0,0,0,0,0,0,0,0
3,4,506,1,17,Mumbai Indians,Ishan Kishan,Mohammad Shami,,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0.3,2,1,0,203004,98.23,-24.27,1,0,,37,NIPPED AWAY,36,CUT SHOT,0,0,4,0,4,0,0,0,0,0,0,0,0,0
4,5,506,1,17,Mumbai Indians,Rohit Sharma,Mohammad Shami,,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.4,2,1,0,203005,-14.12,44.33,0,0,,42,OUTSWINGER,50,BACKFOOT DEFENCE,0,0,5,0,4,0,0,0,0,0,0,0,0,0
5,6,506,1,17,Mumbai Indians,Rohit Sharma,Mohammad Shami,,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.5,2,1,0,203006,53.10,58.60,0,0,,39,ANGLED IN,49,FORWARD DEFENCE,0,0,6,0,4,0,0,0,0,0,0,0,0,0
6,7,506,1,17,Mumbai Indians,Rohit Sharma,Mohammad Shami,,1,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0.6,2,1,0,203007,86.72,-80.45,1,0,,39,ANGLED IN,54,LEG GLANCE,0,0,7,0,5,0,0,0,0,0,0,0,0,0
7,1,506,1,17,Mumbai Indians,Rohit Sharma,Alzarri Joseph,,2,1,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,1.1,2,1,0,203008,-136.59,147.47,4,0,,39,ANGLED IN,5,LOFTED OFF DRIVE,0,0,1,1,9,0,1,0,0,0,0,0,0,0
8,2,506,1,17,Mumbai Indians,Rohit Sharma,Alzarri Joseph,,2,2,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,1.2,2,1,0,203009,-64.31,-138.46,4,0,,38,STRAIGHT BALL,49,FORWARD DEFENCE,0,0,2,1,13,0,0,0,0,0,0,0,0,0
9,3,506,1,17,Mumbai Indians,Rohit Sharma,Alzarri Joseph,,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.3,2,1,0,203010,85.33,27.76,0,0,,39,ANGLED IN,40,FRONTFOOT FLICK,0,0,3,1,13,0,0,0,0,0,0,0,0,0
10,4,506,1,17,Mumbai Indians,Rohit Sharma,Alzarri Joseph,,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.4,2,1,0,203011,-80.42,87.61,0,0,,38,STRAIGHT BALL,84,FRONTFOOT OFF DRIVE,0,0,4,1,13,0,0,0,0,0,0,0,0,0
11,5,506,1,17,Mumbai Indians,Rohit Sharma,Alzarri Joseph,,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.5,2,1,0,203012,-40.82,17.63,0,0,,39,ANGLED IN,50,BACKFOOT DEFENCE,0,0,5,1,13,0,0,0,0,0,0,0,0,0
12,6,506,1,17,Mumbai Indians,Rohit Sharma,Alzarri Joseph,,2,6,6,6,6,0,0,0,0,0,0,0,0,0,0,1,0,,,0,1.6,2,1,0,203013,182.49,76.10,6,0,,39,ANGLED IN,11,LOFTED ON DRIVE,0,0,6,1,19,0,0,0,0,0,0,0,0,0
13,1,506,1,17,Mumbai Indians,Ishan Kishan,Mohammad Shami,,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,2.1,2,1,0,203014,-93.31,-6.32,1,0,,39,ANGLED IN,97,BACKFOOT PUSH,0,0,1,2,20,0,1,0,0,0,0,0,0,0
14,2,506,1,17,Mumbai Indians,Rohit Sharma,Mohammad Shami,,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.2,2,1,0,203015,-95.62,36.50,0,0,,38,STRAIGHT BALL,97,BACKFOOT PUSH,0,0,2,2,20,0,0,0,0,0,0,0,0,0
15,3,506,1,17,Mumbai Indians,Rohit Sharma,Mohammad Shami,,3,3,6,6,6,0,0,0,0,0,0,0,0,0,0,1,0,,,0,2.3,2,1,0,203016,67.84,-135.70,6,0,,38,STRAIGHT BALL,99,SCOOP,0,0,3,2,26,0,0,0,0,0,0,0,0,0
16,4,506,1,17,Mumbai Indians,Rohit Sharma,Mohammad Shami,,3,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,2.4,2,1,0,203017,53.10,104.19,1,0,,39,ANGLED IN,47,FRONTFOOT ON DRIVE,0,0,4,2,27,0,0,0,0,0,0,0,0,0
17,5,506,1,17,Mumbai Indians,Ishan Kishan,Mohammad Shami,,3,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,2.5,2,1,0,203018,109.28,-69.40,1,0,,39,ANGLED IN,44,GLIDE,0,0,5,2,28,0,0,0,0,0,0,0,0,0
18,6,506,1,17,Mumbai Indians,Rohit Sharma,Mohammad Shami,,3,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,2.6,2,1,0,203019,139.67,-22.43,1,0,,8,OFF CUTTER,58,BACKFOOT PULL SHOT,0,0,6,2,29,0,0,0,0,0,0,0,0,0
19,1,506,1,17,Mumbai Indians,Rohit Sharma,Alzarri Joseph,,4,1,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,3.1,2,1,0,203020,-151.33,-62.95,4,0,,42,OUTSWINGER,36,CUT SHOT,0,0,1,3,33,0,1,0,0,0,0,0,0,0
20,2,506,1,17,Mumbai Indians,Rohit Sharma,Alzarri Joseph,,4,2,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,3.2,2,1,0,203021,-182.18,19.01,4,0,,38,STRAIGHT BALL,52,BACKFOOT COVERDRIVE,0,0,2,3,37,0,0,0,0,0,0,0,0,0
21,3,506,1,17,Mumbai Indians,Rohit Sharma,Alzarri Joseph,,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,3.3,2,1,0,203022,-182.18,19.01,0,0,,37,NIPPED AWAY,49,FORWARD DEFENCE,0,0,3,3,37,0,0,0,0,0,0,0,0,0
22,4,506,1,17,Mumbai Indians,Rohit Sharma,Alzarri Joseph,,4,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,3.4,2,1,0,203023,-76.28,-15.99,1,0,,39,ANGLED IN,49,FORWARD DEFENCE,0,0,4,3,38,0,0,0,0,0,0,0,0,0
23,5,506,1,17,Mumbai Indians,Ishan Kishan,Alzarri Joseph,,4,5,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,,,0,3.5,2,1,0,203024,122.63,-76.30,2,0,,30,ANGLED ACROSS,59,FRONTFOOT SQUARE DRIVE,0,0,5,3,40,0,0,0,0,0,0,0,0,0
24,6,506,1,17,Mumbai Indians,Ishan Kishan,Alzarri Joseph,,4,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,3.6,2,1,0,203025,45.74,102.35,0,0,,30,ANGLED ACROSS,84,FRONTFOOT OFF DRIVE,0,0,6,3,40,0,0,0,0,0,0,0,0,0
26,1,506,1,17,Mumbai Indians,Rohit Sharma,Rashid Khan,,5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,4.1,2,1,0,203026,61.39,77.48,1,0,,28,GOOGLY,49,FORWARD DEFENCE,0,0,1,4,41,0,1,0,0,0,0,0,0,0
27,2,506,1,17,Mumbai Indians,Ishan Kishan,Rashid Khan,,5,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,4.2,2,1,0,203027,-112.65,67.81,1,0,,24,LEG SPIN,47,FRONTFOOT ON DRIVE,0,0,2,4,42,0,0,0,0,0,0,0,0,0
28,3,506,1,17,Mumbai Indians,Rohit Sharma,Rashid Khan,,5,3,3,3,3,0,0,1,0,0,0,0,0,0,0,0,0,,,0,4.3,2,1,0,203028,137.82,-49.60,3,0,,24,LEG SPIN,55,SWEEP SHOT,0,0,3,4,45,0,0,0,0,0,0,0,0,0
29,4,506,1,17,Mumbai Indians,Ishan Kishan,Rashid Khan,,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,4.4,2,1,0,203029,37.45,-29.80,0,0,,28,GOOGLY,58,BACKFOOT PULL SHOT,0,0,4,4,45,0,0,0,0,0,0,0,0,0
30,5,506,1,17,Mumbai Indians,Ishan Kishan,Rashid Khan,,5,5,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,4.5,2,1,0,203030,-9.51,-153.65,4,0,,24,LEG SPIN,49,FORWARD DEFENCE,0,0,5,4,49,0,0,0,0,0,0,0,0,0
31,6,506,1,17,Mumbai Indians,Ishan Kishan,Rashid Khan,,5,6,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,4.6,2,1,0,203031,-42.67,-142.60,4,0,,24,LEG SPIN,55,SWEEP SHOT,0,0,6,4,53,0,0,1,1,0,1,0,0,0
32,1,506,1,17,Mumbai Indians,Rohit Sharma,Lockie Ferguson,,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,5.1,2,1,0,203032,49.88,100.04,0,0,,39,ANGLED IN,27,FORWARD PUSH,0,0,1,5,53,0,1,0,1,0,0,0,0,0
33,2,506,1,17,Mumbai Indians,Rohit Sharma,Lockie Ferguson,,6,2,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,5.2,2,1,0,203033,139.67,142.40,4,0,,38,STRAIGHT BALL,11,LOFTED ON DRIVE,0,0,2,5,57,0,0,0,1,0,0,0,0,0
