,ActualBallNo,MatchID,InningsNo,BattingTeamID,TeamName,BatsManName,BowlerName,BowlerType,OverNo,BallNo,Runs,BallRuns,ActualRuns,IsOne,IsTwo,IsThree,IsDotball,Extras,IsWide,IsNoBall,IsBye,IsLegBye,IsFour,IsSix,IsWicket,WicketType,Wickets,IsBowlerWicket,BallName,Day,SESSION_NO,IsExtra,SNO,Xpitch,Ypitch,RunRuns,IsMaiden,OverImage,BowlTypeID,BowlTypeName,ShotTypeID,ShotType,IsBouncer,IsFreeHit,BallCount,BCCheck,TotalRuns,TotalWickets,BOWLING_LINE_ID,BOWLING_LENGTH_ID,FiveHaul,Flag,FlagSet,PenaltyRuns,IsFifty,IsHundred,IsTwoHundred,IsHattrick,STclientID,NSTclientID
0,1,863,1,15,Punjab Kings,Simran Singh,Trent Boult,,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0.1,1,1,0,300399,-84.56,11.18,1,0,https://scores.bcci.tv/matchcentre/commentaryFiles/TATA-IPL-2023/Rajasthan-Royals-VS-Punjab-Kings-(05-Apr-2023)/File_1-1-300399.png,41,INSWINGER,51,FRONTFOOT COVERDRIVE,0,0,1,0,1,0,Outside Off stump,Good Length,1,0,0,0,0,0,0,0,5436,41
1,2,863,1,15,Punjab Kings,Shikhar Dhawan,Trent Boult,,1,2,2 (WD),2,0,0,0,0,0,2,1,0,0,0,0,0,0,,,0,0.2,1,1,1,300400,-84.56,11.18,2,0,,39,ANGLED IN,54,LEG GLANCE,0,0,2,0,3,0,Leg stump,Good Length,0,0,0,0,0,0,0,0,41,5436
2,3,863,1,15,Punjab Kings,Simran Singh,Trent Boult,,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.2,1,1,0,300401,94.08,-5.86,0,0,,41,INSWINGER,84,FRONTFOOT OFF DRIVE,0,0,3,0,3,0,Off stump,Good Length,0,0,0,0,0,0,0,0,5436,41
3,4,863,1,15,Punjab Kings,Simran Singh,Trent Boult,,1,3,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,0.3,1,1,0,300402,-164.22,130.43,4,0,,30,ANGLED ACROSS,15,LOFTED COVER DRIVE,0,0,4,0,7,0,Outside Off stump,Full Length,0,0,0,0,0,0,0,0,5436,41
4,5,863,1,15,Punjab Kings,Simran Singh,Trent Boult,,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.4,1,1,0,300403,-18.26,-49.14,0,0,,30,ANGLED ACROSS,36,CUT SHOT,0,0,5,0,7,0,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0,5436,41
5,6,863,1,15,Punjab Kings,Simran Singh,Trent Boult,,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.5,1,1,0,300404,-62.46,12.56,0,0,,30,ANGLED ACROSS,50,BACKFOOT DEFENCE,0,0,6,0,7,0,Off stump,Short of Good Length,0,0,0,0,0,0,0,0,5436,41
6,7,863,1,15,Punjab Kings,Simran Singh,Trent Boult,,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.6,1,1,0,300405,29.16,49.86,0,0,,41,INSWINGER,50,BACKFOOT DEFENCE,0,0,7,0,7,0,Leg stump,Good Length,0,0,0,0,0,0,0,0,5436,41
8,1,863,1,15,Punjab Kings,Shikhar Dhawan,Asif K M,,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.1,1,1,0,300406,29.16,49.86,0,0,https://scores.bcci.tv/matchcentre/commentaryFiles/TATA-IPL-2023/Rajasthan-Royals-VS-Punjab-Kings-(05-Apr-2023)/File_1-2-300406.png,30,ANGLED ACROSS,51,FRONTFOOT COVERDRIVE,0,0,1,1,7,0,Outside Off stump,Good Length,1,0,0,0,0,0,0,0,41,5436
9,2,863,1,15,Punjab Kings,Shikhar Dhawan,Asif K M,,2,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,,,0,1.2,1,1,0,300407,158.08,-12.30,2,0,,30,ANGLED ACROSS,59,FRONTFOOT SQUARE DRIVE,0,0,2,1,9,0,Off stump,Good Length,0,0,0,0,0,0,0,0,41,5436
10,3,863,1,15,Punjab Kings,Shikhar Dhawan,Asif K M,,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.3,1,1,0,300408,43.44,109.25,0,0,,30,ANGLED ACROSS,84,FRONTFOOT OFF DRIVE,0,0,3,1,9,0,Leg stump,Full Length,0,0,0,0,0,0,0,0,41,5436
