,ActualBallNo,MatchID,InningsNo,BattingTeamID,TeamName,BatsManName,BowlerName,BowlerType,OverNo,BallNo,Runs,BallRuns,ActualRuns,IsOne,IsTwo,IsThree,IsDotball,Extras,IsWide,IsNoBall,IsBye,IsLegBye,IsFour,IsSix,IsWicket,WicketType,Wickets,IsBowlerWicket,BallName,Day,SESSION_NO,IsExtra,SNO,Xpitch,Ypitch,RunRuns,IsMaiden,OverImage,BowlTypeID,BowlTypeName,ShotTypeID,ShotType,IsBouncer,IsFreeHit,BallCount,BCCheck,TotalRuns,TotalWickets,BOWLING_LINE_ID,BOWLING_LENGTH_ID,FiveHaul,Flag,FlagSet,PenaltyRuns,IsFifty,IsHundred,IsTwoHundred,IsHattrick,STclientID,NSTclientID
0,1,862,1,14,Delhi Capitals,David Warner,Mohammad Shami,,1,1,1 (WD),1,0,0,0,0,0,1,1,0,0,0,0,0,0,,,0,0.1,1,1,1,300159,,,1,0,,30,ANGLED ACROSS,105,LEFT ALONE,0,0,1,0,1,0,Outside Off stump,Good Length,1,0,0,0,0,0,0,0,170,3764
1,2,862,1,14,Delhi Capitals,David Warner,Mohammad Shami,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.1,1,1,0,300160,,,0,0,https://scores.bcci.tv/matchcentre/commentaryFiles/TATA-IPL-2023/Delhi-Capitals-VS-Gujarat-Titans-(04-Apr-2023)/File_1-1-300160.png,37,NIPPED AWAY,49,FORWARD DEFENCE,0,0,2,0,1,0,Middle stump,Good Length,0,0,0,0,0,0,0,0,170,3764
2,3,862,1,14,Delhi Capitals,David Warner,Mohammad Shami,,1,2,1 (WD),1,0,0,0,0,0,1,1,0,0,0,0,0,0,,,0,0.2,1,1,1,300161,,,1,0,,41,INSWINGER,54,LEG GLANCE,0,0,3,0,2,0,Outside Leg stump,Good Length,0,0,0,0,0,0,0,0,170,3764
3,4,862,1,14,Delhi Capitals,David Warner,Mohammad Shami,,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.2,1,1,0,300162,,,0,0,,43,NIPBACKER,77,STEP DOWN DEFENCE,0,0,4,0,2,0,Off stump,Good Length,0,0,0,0,0,0,0,0,170,3764
4,5,862,1,14,Delhi Capitals,David Warner,Mohammad Shami,,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.3,1,1,0,300163,,,0,0,,30,ANGLED ACROSS,105,LEFT ALONE,0,0,5,0,2,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0,170,3764
5,6,862,1,14,Delhi Capitals,David Warner,Mohammad Shami,,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.4,1,1,0,300164,,,0,0,,42,OUTSWINGER,105,LEFT ALONE,0,0,6,0,2,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0,170,3764
6,7,862,1,14,Delhi Capitals,David Warner,Mohammad Shami,,1,5,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,0.5,1,1,0,300165,-36.22,-145.37,4,0,,41,INSWINGER,54,LEG GLANCE,0,0,7,0,6,0,Leg stump,Good Length,0,0,0,0,0,0,0,0,170,3764
7,8,862,1,14,Delhi Capitals,David Warner,Mohammad Shami,,1,6,5 (WD),5,0,0,0,0,0,5,1,0,0,0,1,0,0,,,0,0.6,1,1,1,300166,-36.22,-145.37,5,0,,41,INSWINGER,105,LEFT ALONE,0,0,8,0,11,0,Outside Leg stump,Good Length,0,0,0,0,0,0,0,0,170,3764
8,9,862,1,14,Delhi Capitals,David Warner,Mohammad Shami,,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.6,1,1,0,300167,-84.56,8.42,0,0,,37,NIPPED AWAY,50,BACKFOOT DEFENCE,0,0,9,0,11,0,Leg stump,Short of Good Length,0,0,0,0,0,0,0,0,170,3764
9,1,862,1,14,Delhi Capitals,Prithvi Shaw,Josh Little,,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,1.1,1,1,0,300168,-127.38,-70.78,1,0,https://scores.bcci.tv/matchcentre/commentaryFiles/TATA-IPL-2023/Delhi-Capitals-VS-Gujarat-Titans-(04-Apr-2023)/File_1-2-300168.png,30,ANGLED ACROSS,36,CUT SHOT,0,0,1,1,12,0,Outside Off stump,Good Length,1,0,0,0,0,0,0,0,3764,170
