,ActualBallNo,MatchID,InningsNo,BattingTeamID,TeamName,BatsManName,BowlerName,BowlerType,OverNo,BallNo,Runs,BallRuns,ActualRuns,IsOne,IsTwo,IsThree,IsDotball,Extras,IsWide,IsNoBall,IsBye,IsLegBye,IsFour,IsSix,IsWicket,WicketType,Wickets,IsBowlerWicket,BallName,Day,SESSION_NO,IsExtra,SNO,Xpitch,Ypitch,RunRuns,IsMaiden,OverImage,BowlTypeID,BowlTypeName,ShotTypeID,ShotType,IsBouncer,IsFreeHit,BallCount,BCCheck,TotalRuns,TotalWickets,BOWLING_LINE_ID,BOWLING_LENGTH_ID,FiveHaul,Flag,FlagSet,PenaltyRuns,IsFifty,IsHundred,IsTwoHundred,IsHattrick,STclientID,NSTclientID
215,4,856,2,35,Gujarat Titans,Vijay Shankar,Tushar Deshpande,,15,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,14.4,1,1,0,298916,-95.62,-69.40,1,0,,39,ANGLED IN,44,GLIDE,0,0,4,14,132,3,Outside Off stump,Good Length,0,0,2,0,0,0,0,0,1083,3761
216,5,856,2,35,Gujarat Titans,Shubman Gill,Tushar Deshpande,,15,5,6,6,6,0,0,0,0,0,0,0,0,0,0,1,0,,,0,14.5,1,1,0,298917,164.07,117.08,6,0,,8,OFF CUTTER,11,LOFTED ON DRIVE,0,0,5,14,138,3,Outside Off stump,Good Length,0,0,2,0,0,0,0,0,3761,1083
217,6,856,2,35,Gujarat Titans,Shubman Gill,Tushar Deshpande,,15,6,0 WK,W,0,0,0,0,1,0,0,0,0,0,0,0,1,Caught,WICKET,1,14.6,1,1,0,298918,164.07,117.08,0,0,,39,ANGLED IN,46,FRONTFOOT PULL SHOT,0,0,6,14,138,4,Outside Off stump,Short of Good Length,1,0,2,0,0,0,0,0,3761,1083
218,1,856,2,35,Gujarat Titans,Vijay Shankar,Mitchell Santner,,16,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,15.1,1,1,0,298919,129.54,-47.29,1,0,,23,ARM BALL,40,FRONTFOOT FLICK,0,0,1,15,139,4,Off stump,Good Length,2,0,2,0,0,0,0,0,1083,1749
219,2,856,2,35,Gujarat Titans,Rahul Tewatia,Mitchell Santner,,16,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,15.2,1,1,0,298920,91.78,-14.14,1,0,,10,ORTHODOX,49,FORWARD DEFENCE,0,0,2,15,140,4,Outside Off stump,Good Length,0,0,2,0,0,0,0,0,1749,1083
220,3,856,2,35,Gujarat Titans,Vijay Shankar,Mitchell Santner,,16,3,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,15.3,1,1,0,298921,-150.87,137.80,4,0,,10,ORTHODOX,52,BACKFOOT COVERDRIVE,0,0,3,15,144,4,Outside Off stump,Short of Good Length,0,0,2,0,0,0,0,0,1083,1749
221,4,856,2,35,Gujarat Titans,Vijay Shankar,Mitchell Santner,,16,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,15.4,1,1,0,298922,-113.57,93.60,1,0,,10,ORTHODOX,51,FRONTFOOT COVERDRIVE,0,0,4,15,145,4,Outside Off stump,Full Length,0,0,2,0,0,0,0,0,1083,1749
222,5,856,2,35,Gujarat Titans,Rahul Tewatia,Mitchell Santner,,16,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,15.5,1,1,0,298923,-113.57,93.60,0,0,,10,ORTHODOX,52,BACKFOOT COVERDRIVE,0,0,5,15,145,4,Outside Off stump,Good Length,0,0,2,0,0,0,0,0,1749,1083
223,6,856,2,35,Gujarat Titans,Rahul Tewatia,Mitchell Santner,,16,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,15.6,1,1,0,298924,-44.05,32.82,0,0,,10,ORTHODOX,49,FORWARD DEFENCE,0,0,6,15,145,4,Outside Off stump,Full Length,0,0,2,0,0,0,0,0,1749,1083
224,1,856,2,35,Gujarat Titans,Vijay Shankar,Deepak Chahar,,17,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,16.1,1,1,0,298925,69.68,-44.99,1,0,,8,OFF CUTTER,58,BACKFOOT PULL SHOT,0,0,1,16,146,4,Outside Off stump,Short of Good Length,1,0,2,0,0,0,0,0,1083,1749
225,2,856,2,35,Gujarat Titans,Rahul Tewatia,Deepak Chahar,,17,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,16.2,1,1,0,298926,-86.41,101.42,1,0,,47,SLOWER BALL,47,FRONTFOOT ON DRIVE,0,0,2,16,147,4,Outside Off stump,Good Length,0,0,2,0,0,0,0,0,1749,1083
226,3,856,2,35,Gujarat Titans,Vijay Shankar,Deepak Chahar,,17,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,16.3,1,1,0,298927,-56.02,80.71,0,0,,47,SLOWER BALL,84,FRONTFOOT OFF DRIVE,0,0,3,16,147,4,Off stump,Full Length,0,0,2,0,0,0,0,0,1083,1749
