,ActualBallNo,MatchID,InningsNo,BattingTeamID,TeamName,BatsManName,BowlerName,BowlerType,OverNo,BallNo,Runs,BallRuns,ActualRuns,IsOne,IsTwo,IsThree,IsDotball,Extras,IsWide,IsNoBall,IsBye,IsLegBye,IsFour,IsSix,IsWicket,WicketType,Wickets,IsBowlerWicket,BallName,Day,SESSION_NO,IsExtra,SNO,Xpitch,Ypitch,RunRuns,IsMaiden,OverImage,BowlTypeID,BowlTypeName,ShotTypeID,ShotType,IsBouncer,IsFreeHit,BallCount,BCCheck,TotalRuns,TotalWickets,FiveHaul,Flag,FlagSet,PenaltyRuns,IsFifty,IsHundred,IsTwoHundred,IsHattrick
0,1,519,1,14,Delhi Capitals,David Warner,Liam Livingstone,,1,1,0 WK,W,0,0,0,0,1,0,0,0,0,0,0,0,1,Caught,WICKET,1,0.1,2,1,0,207115,68.76,-26.58,0,0,https://scores.bcci.tv/matchcentre/commentaryFiles/IPL-2022/Punjab-Kings-VS-Delhi-Capitals-(16-May-2022)/File_1-1-207115.jpg,25,OFF SPIN,51,FRONTFOOT COVERDRIVE,0,0,1,0,0,1,1,0,0,0,0,0,0,0
1,2,519,1,14,Delhi Capitals,Mitchell Marsh,Liam Livingstone,,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0.2,2,1,0,207116,64.15,-8.62,1,0,,25,OFF SPIN,50,BACKFOOT DEFENCE,0,0,2,0,1,1,2,0,0,0,0,0,0,0
2,3,519,1,14,Delhi Capitals,Sarfaraz Khan,Liam Livingstone,,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0.3,2,1,0,207117,123.09,20.85,1,0,,25,OFF SPIN,27,FORWARD PUSH,0,0,3,0,2,1,0,0,0,0,0,0,0,0
3,4,519,1,14,Delhi Capitals,Mitchell Marsh,Liam Livingstone,,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.4,2,1,0,207118,-47.73,16.71,0,0,,25,OFF SPIN,50,BACKFOOT DEFENCE,0,0,4,0,2,1,0,0,0,0,0,0,0,0
4,5,519,1,14,Delhi Capitals,Mitchell Marsh,Liam Livingstone,,1,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0.5,2,1,0,207119,-49.57,-49.60,1,0,,25,OFF SPIN,44,GLIDE,0,0,5,0,3,1,0,0,0,0,0,0,0,0
5,6,519,1,14,Delhi Capitals,Sarfaraz Khan,Liam Livingstone,,1,6,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,,,0,0.6,2,1,0,207120,136.90,-51.44,2,0,,23,ARM BALL,55,SWEEP SHOT,0,0,6,0,5,1,0,0,0,0,0,0,0,0
6,1,519,1,14,Delhi Capitals,Mitchell Marsh,Kagiso Rabada,,2,1,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,,,0,1.1,2,1,0,207121,121.25,37.88,2,0,,39,ANGLED IN,97,BACKFOOT PUSH,0,0,1,1,7,1,1,0,0,0,0,0,0,0
7,2,519,1,14,Delhi Capitals,Mitchell Marsh,Kagiso Rabada,,2,2,6,6,6,0,0,0,0,0,0,0,0,0,0,1,0,,,0,1.2,2,1,0,207122,35.61,214.69,6,0,,39,ANGLED IN,13,LOFTED STRAIGHT,0,0,2,1,13,1,0,0,0,0,0,0,0,0
8,3,519,1,14,Delhi Capitals,Mitchell Marsh,Kagiso Rabada,,2,3,6,6,6,0,0,0,0,0,0,0,0,0,0,1,0,,,0,1.3,2,1,0,207123,151.64,133.65,6,0,,39,ANGLED IN,11,LOFTED ON DRIVE,0,0,3,1,19,1,0,0,0,0,0,0,0,0
9,4,519,1,14,Delhi Capitals,Mitchell Marsh,Kagiso Rabada,,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.4,2,1,0,207124,-30.23,16.71,0,0,,38,STRAIGHT BALL,50,BACKFOOT DEFENCE,0,0,4,1,19,1,0,0,0,0,0,0,0,0
