,ActualBallNo,MatchID,InningsNo,BattingTeamID,TeamName,BatsManName,BowlerName,BowlerType,OverNo,BallNo,Runs,BallRuns,ActualRuns,IsOne,IsTwo,IsThree,IsDotball,Extras,IsWide,IsNoBall,IsBye,IsLegBye,IsFour,IsSix,IsWicket,WicketType,Wickets,IsBowlerWicket,BallName,Day,SESSION_NO,IsExtra,SNO,Xpitch,Ypitch,RunRuns,IsMaiden,OverImage,BowlTypeID,BowlTypeName,ShotTypeID,ShotType,IsBouncer,IsFreeHit,BallCount,BCCheck,TotalRuns,TotalWickets,BOWLING_LINE_ID,BOWLING_LENGTH_ID,FiveHaul,Flag,FlagSet,PenaltyRuns,IsFifty,IsHundred,IsTwoHundred,IsHattrick
0,1,1817,1,77,Lucknow Super Giants,Aiden Markram,Vaibhav Arora,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.1,1,1,0,604132,57.00,39.50,0,0,,38,STRAIGHT BALL,50,BACKFOOT DEFENCE,0,0,1,0,0,0,Outside Off stump,Short of Good Length,1,0,0,0,0,0,0,0
1,2,1817,1,77,Lucknow Super Giants,Aiden Markram,Vaibhav Arora,,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.2,1,1,0,604133,64.50,39.50,0,0,,38,STRAIGHT BALL,27,FORWARD PUSH,0,0,2,0,0,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
2,3,1817,1,77,Lucknow Super Giants,Aiden Markram,Vaibhav Arora,,1,3,3,3,3,0,0,1,0,0,0,0,0,0,0,0,0,,,0,0.3,1,1,0,604134,52.00,-129.50,3,0,,41,INSWINGER,52,BACKFOOT COVERDRIVE,0,0,3,0,3,0,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0
3,4,1817,1,77,Lucknow Super Giants,Mitchell Marsh,Vaibhav Arora,,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.4,1,1,0,604135,52.00,-129.50,0,0,,41,INSWINGER,27,FORWARD PUSH,0,0,4,0,3,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
4,5,1817,1,77,Lucknow Super Giants,Mitchell Marsh,Vaibhav Arora,,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.5,1,1,0,604136,52.00,-129.50,0,0,,38,STRAIGHT BALL,105,LEFT ALONE,0,0,5,0,3,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
5,6,1817,1,77,Lucknow Super Giants,Mitchell Marsh,Vaibhav Arora,,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.6,1,1,0,604137,73.50,27.50,0,0,,41,INSWINGER,97,BACKFOOT PUSH,0,0,6,0,3,0,Off stump,Good Length,0,0,0,0,0,0,0,0
6,1,1817,1,77,Lucknow Super Giants,Aiden Markram,Spencer Johnson,,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.1,1,1,0,604138,73.50,27.50,0,0,,38,STRAIGHT BALL,58,BACKFOOT PULL SHOT,0,0,1,1,3,0,Outside Leg stump,Short Length,1,0,0,0,0,0,0,0
7,2,1817,1,77,Lucknow Super Giants,Aiden Markram,Spencer Johnson,,2,2,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,1.2,1,1,0,604139,193.00,81.00,4,0,,38,STRAIGHT BALL,47,FRONTFOOT ON DRIVE,0,0,2,1,7,0,Off stump,Full Length,0,0,0,0,0,0,0,0
8,3,1817,1,77,Lucknow Super Giants,Aiden Markram,Spencer Johnson,,2,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,1.3,1,1,0,604140,-96.00,-110.50,1,0,,30,ANGLED ACROSS,52,BACKFOOT COVERDRIVE,0,0,3,1,8,0,Leg stump,Short of Good Length,0,0,0,0,0,0,0,0
9,4,1817,1,77,Lucknow Super Giants,Mitchell Marsh,Spencer Johnson,,2,4,6,6,6,0,0,0,0,0,0,0,0,0,0,1,0,,,0,1.4,1,1,0,604141,186.00,-39.00,6,0,,38,STRAIGHT BALL,58,BACKFOOT PULL SHOT,0,0,4,1,14,0,Leg stump,Short of Good Length,0,0,0,0,0,0,0,0
10,5,1817,1,77,Lucknow Super Giants,Mitchell Marsh,Spencer Johnson,,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.5,1,1,0,604142,18.00,68.50,0,0,,38,STRAIGHT BALL,49,FORWARD DEFENCE,0,0,5,1,14,0,Outside Leg stump,Good Length,0,0,0,0,0,0,0,0
11,6,1817,1,77,Lucknow Super Giants,Mitchell Marsh,Spencer Johnson,,2,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,1.6,1,1,0,604143,116.00,-81.50,1,0,,38,STRAIGHT BALL,58,BACKFOOT PULL SHOT,0,0,6,1,15,0,Outside Leg stump,Short Length,0,0,0,0,0,0,0,0
12,1,1817,1,77,Lucknow Super Giants,Mitchell Marsh,Vaibhav Arora,,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.1,1,1,0,604144,-87.00,21.00,0,0,,38,STRAIGHT BALL,52,BACKFOOT COVERDRIVE,0,0,1,2,15,0,Outside Off stump,Short of Good Length,1,0,0,0,0,0,0,0
13,2,1817,1,77,Lucknow Super Giants,Mitchell Marsh,Vaibhav Arora,,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.2,1,1,0,604145,79.50,28.00,0,0,,38,STRAIGHT BALL,49,FORWARD DEFENCE,0,0,2,2,15,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
14,3,1817,1,77,Lucknow Super Giants,Mitchell Marsh,Vaibhav Arora,,3,3,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,,,0,2.3,1,1,0,604146,173.00,42.50,2,0,,39,ANGLED IN,40,FRONTFOOT FLICK,0,0,3,2,17,0,Off stump,Good Length,0,0,0,0,0,0,0,0
15,4,1817,1,77,Lucknow Super Giants,Mitchell Marsh,Vaibhav Arora,,3,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,2.4,1,1,0,604147,49.00,184.50,1,0,,39,ANGLED IN,27,FORWARD PUSH,0,0,4,2,18,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
16,5,1817,1,77,Lucknow Super Giants,Aiden Markram,Vaibhav Arora,,3,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,2.5,1,1,0,604148,-148.00,54.50,1,0,,38,STRAIGHT BALL,52,BACKFOOT COVERDRIVE,0,0,5,2,19,0,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0
17,6,1817,1,77,Lucknow Super Giants,Mitchell Marsh,Vaibhav Arora,,3,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,2.6,1,1,0,604149,-68.50,96.00,1,0,,38,STRAIGHT BALL,84,FRONTFOOT OFF DRIVE,0,0,6,2,20,0,Outside Off stump,Full Length,0,0,0,0,0,0,0,0
18,1,1817,1,77,Lucknow Super Giants,Mitchell Marsh,Spencer Johnson,,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,3.1,1,1,0,604150,152.00,-38.00,1,0,,38,STRAIGHT BALL,58,BACKFOOT PULL SHOT,0,0,1,3,21,0,Outside Leg stump,Short Length,1,0,0,0,0,0,0,0
19,2,1817,1,77,Lucknow Super Giants,Aiden Markram,Spencer Johnson,,4,2,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,3.2,1,1,0,604151,-98.00,215.50,4,0,,38,STRAIGHT BALL,122,STEP DOWN LOFTED OFF DRIVE,0,0,2,3,25,0,Outside Leg stump,Short of Good Length,0,0,0,0,0,0,0,0
20,3,1817,1,77,Lucknow Super Giants,Aiden Markram,Spencer Johnson,,4,3,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,,,0,3.3,1,1,0,604152,-173.00,61.50,2,0,,30,ANGLED ACROSS,51,FRONTFOOT COVERDRIVE,0,0,3,3,27,0,Outside Off stump,Full Length,0,0,0,0,0,0,0,0
21,4,1817,1,77,Lucknow Super Giants,Aiden Markram,Spencer Johnson,,4,4,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,3.4,1,1,0,604153,140.50,173.00,4,0,,38,STRAIGHT BALL,47,FRONTFOOT ON DRIVE,0,0,4,3,31,0,Leg stump,Good Length,0,0,0,0,0,0,0,0
22,5,1817,1,77,Lucknow Super Giants,Aiden Markram,Spencer Johnson,,4,5,6,6,6,0,0,0,0,0,0,0,0,0,0,1,0,,,0,3.5,1,1,0,604154,169.00,139.50,6,0,,38,STRAIGHT BALL,58,BACKFOOT PULL SHOT,0,0,5,3,37,0,Leg stump,Short Length,0,0,0,0,0,0,0,0
23,6,1817,1,77,Lucknow Super Giants,Aiden Markram,Spencer Johnson,,4,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,3.6,1,1,0,604155,80.50,109.00,1,0,,38,STRAIGHT BALL,97,BACKFOOT PUSH,0,0,6,3,38,0,Outside Leg stump,Short of Good Length,0,0,0,0,0,0,0,0
24,1,1817,1,77,Lucknow Super Giants,Aiden Markram,Varun Chakaravarthy,,5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,4.1,1,1,0,604156,34.50,131.00,1,0,,24,LEG SPIN,97,BACKFOOT PUSH,0,0,1,4,39,0,Outside Off stump,Good Length,1,0,0,0,0,0,0,0
