,ActualBallNo,MatchID,InningsNo,BattingTeamID,TeamName,BatsManName,BowlerName,BowlerType,OverNo,BallNo,Runs,BallRuns,ActualRuns,IsOne,IsTwo,IsThree,IsDotball,Extras,IsWide,IsNoBall,IsBye,IsLegBye,IsFour,IsSix,IsWicket,WicketType,Wickets,IsBowlerWicket,BallName,Day,SESSION_NO,IsExtra,SNO,Xpitch,Ypitch,RunRuns,IsMaiden,OverImage,BowlTypeID,BowlTypeName,ShotTypeID,ShotType,IsBouncer,IsFreeHit,BallCount,BCCheck,TotalRuns,TotalWickets,FiveHaul,Flag,FlagSet,PenaltyRuns,IsFifty,IsHundred,IsTwoHundred,IsHattrick
0,1,472,1,13,Chennai Super Kings,Robin Uthappa,Bhuvneshwar Kumar,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.1,2,1,0,194727,-31.15,-143.06,0,0,,,Knuckleball,49,FORWARD DEFENCE,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1,2,472,1,13,Chennai Super Kings,Robin Uthappa,Bhuvneshwar Kumar,,1,2,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,0.2,2,1,0,194728,-31.15,-143.06,4,0,,,Knuckleball,84,FRONTFOOT OFF DRIVE,0,0,2,0,4,0,0,0,0,0,0,0,0,0
2,3,472,1,13,Chennai Super Kings,Robin Uthappa,Bhuvneshwar Kumar,,1,3,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,,,0,0.3,2,1,0,194729,-108.51,-4.94,2,0,,,Knuckleball,59,FRONTFOOT SQUARE DRIVE,0,0,3,0,6,0,0,0,0,0,0,0,0,0
3,4,472,1,13,Chennai Super Kings,Robin Uthappa,Bhuvneshwar Kumar,,1,4,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,,,0,0.4,2,1,0,194730,27.32,160.36,2,0,,,Knuckleball,27,FORWARD PUSH,0,0,4,0,8,0,0,0,0,0,0,0,0,0
4,5,472,1,13,Chennai Super Kings,Robin Uthappa,Bhuvneshwar Kumar,,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.5,2,1,0,194731,-83.64,-1.25,0,0,,,Knuckleball,59,FRONTFOOT SQUARE DRIVE,0,0,5,0,8,0,0,0,0,0,0,0,0,0
5,6,472,1,13,Chennai Super Kings,Robin Uthappa,Bhuvneshwar Kumar,,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.6,2,1,0,194732,-41.74,-7.24,0,0,,,Knuckleball,49,FORWARD DEFENCE,0,0,6,0,8,0,0,0,0,0,0,0,0,0
6,1,472,1,13,Chennai Super Kings,Ruturaj  Gaikwad,Marco Jansen,,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.1,2,1,0,194733,-80.42,-8.62,0,0,,30,ANGLED ACROSS,50,BACKFOOT DEFENCE,0,0,1,1,8,0,1,0,0,0,0,0,0,0
7,2,472,1,13,Chennai Super Kings,Ruturaj  Gaikwad,Marco Jansen,,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,1.2,2,1,0,194734,92.70,-2.63,1,0,,,Knuckleball,97,BACKFOOT PUSH,0,0,2,1,9,0,0,0,0,0,0,0,0,0
8,3,472,1,13,Chennai Super Kings,Robin Uthappa,Marco Jansen,,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.3,2,1,0,194735,-23.79,23.61,0,0,,,Knuckleball,49,FORWARD DEFENCE,0,0,3,1,9,0,0,0,0,0,0,0,0,0
9,4,472,1,13,Chennai Super Kings,Robin Uthappa,Marco Jansen,,2,4,3,3,3,0,0,1,0,0,0,0,0,0,0,0,0,,,0,1.4,2,1,0,194736,133.68,-55.12,3,0,,,Knuckleball,46,FRONTFOOT PULL SHOT,0,0,4,1,12,0,0,0,0,0,0,0,0,0
10,5,472,1,13,Chennai Super Kings,Ruturaj  Gaikwad,Marco Jansen,,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.5,2,1,0,194737,133.68,-55.12,0,0,,,Knuckleball,49,FORWARD DEFENCE,0,0,5,1,12,0,0,0,0,0,0,0,0,0
11,6,472,1,13,Chennai Super Kings,Ruturaj  Gaikwad,Marco Jansen,,2,6,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,1.6,2,1,0,194738,-175.27,16.71,4,0,,30,ANGLED ACROSS,51,FRONTFOOT COVERDRIVE,0,0,6,1,16,0,0,0,0,0,0,0,0,0
12,1,472,1,13,Chennai Super Kings,Robin Uthappa,Bhuvneshwar Kumar,,3,1,3,3,3,0,0,1,0,0,0,0,0,0,0,0,0,,,0,2.1,2,1,0,194739,-140.28,-44.53,3,0,,,Knuckleball,96,SLICED OVER POINT,0,0,1,2,19,0,1,0,0,0,0,0,0,0
13,2,472,1,13,Chennai Super Kings,Ruturaj  Gaikwad,Bhuvneshwar Kumar,,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,2.2,2,1,0,194740,77.05,92.22,1,0,,,Knuckleball,27,FORWARD PUSH,0,0,2,2,20,0,0,0,0,0,0,0,0,0
14,3,472,1,13,Chennai Super Kings,Robin Uthappa,Bhuvneshwar Kumar,,3,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,2.3,2,1,0,194741,-149.03,17.63,1,0,,,Knuckleball,51,FRONTFOOT COVERDRIVE,0,0,3,2,21,0,0,0,0,0,0,0,0,0
15,4,472,1,13,Chennai Super Kings,Ruturaj  Gaikwad,Bhuvneshwar Kumar,,3,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.4,2,1,0,194742,-36.22,19.93,0,0,,39,ANGLED IN,49,FORWARD DEFENCE,0,0,4,2,21,0,0,0,0,0,0,0,0,0
16,5,472,1,13,Chennai Super Kings,Ruturaj  Gaikwad,Bhuvneshwar Kumar,,3,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.5,2,1,0,194743,-36.68,-56.96,0,0,,,Knuckleball,44,GLIDE,0,0,5,2,21,0,0,0,0,0,0,0,0,0
17,6,472,1,13,Chennai Super Kings,Ruturaj  Gaikwad,Bhuvneshwar Kumar,,3,6,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,2.6,2,1,0,194744,-120.02,-92.88,4,0,,,Knuckleball,36,CUT SHOT,0,0,6,2,25,0,0,0,0,0,0,0,0,0
